date,department,vendor,approved_by_employee,invoice_id,transaction_amount,payment_method,monthly_revenue_recorded,payroll_amount,fraud_pattern_label
2025-04-13,Marketing,Zenith Corp,EMP101,INV3453,14432,Bank Transfer,48481,10754,None
2024-06-24,IT,Zenith Corp,EMP104,INV2458,4073,Bank Transfer,19965,5529,None
2024-10-24,IT,Zenith Corp,EMP107,INV3591,18571,Bank Transfer,10089,3647,None
2023-11-08,Operations,Beta Traders,EMP106,INV3430,14833,Card,16517,4837,None
2023-08-17,Sales,Zenith Corp,EMP105,INV2617,18112,Bank Transfer,28258,10547,None
2023-08-29,Sales,Om Industrial,EMP102,INV2113,10572,Cash,22721,3356,None
2024-01-15,Sales,Beta Traders,EMP104,INV3471,11577,Card,33744,9890,None
2024-05-31,IT,Alpha Supplies,EMP102,INV3568,10714,Bank Transfer,25126,6177,None
2024-09-30,Marketing,Delta Services,EMP105,INV2854,16394,Bank Transfer,48980,3924,None
2023-05-26,HR,Delta Services,EMP101,INV2805,6532,Bank Transfer,56663,10366,None
2023-12-04,HR,Beta Traders,EMP102,INV2065,15822,Card,53544,8108,None
2023-04-22,Operations,Alpha Supplies,EMP101,INV2860,12016,Bank Transfer,46774,5026,None
2025-04-21,Sales,Zenith Corp,EMP104,INV2400,16014,Bank Transfer,45489,9106,None
2023-02-01,Marketing,Rapid Parts,EMP104,INV2083,13763,Card,12284,9153,None
2023-03-06,Operations,Om Industrial,EMP103,INV3961,11476,Cash,27181,3714,None
2024-09-01,Sales,Zenith Corp,EMP106,INV2219,8163,Bank Transfer,56895,10785,None
2024-03-16,Marketing,Zenith Corp,EMP104,INV2017,6494,Cash,55358,7969,None
2025-03-12,Finance,Om Industrial,EMP101,INV3541,13334,Bank Transfer,26207,5620,None
2023-06-14,Sales,Delta Services,EMP101,INV2426,3255,Cash,37594,4579,None
2024-09-27,HR,Rapid Parts,EMP102,INV3596,4470,Card,29253,7815,None
2024-03-25,Marketing,Beta Traders,EMP102,INV2576,5524,Bank Transfer,31386,6084,None
2024-10-27,HR,Zenith Corp,EMP101,INV2209,1713,Cash,41114,3073,None
2023-08-27,Marketing,Alpha Supplies,EMP101,INV2397,19610,Card,34394,4230,None
2024-11-11,HR,Alpha Supplies,EMP101,INV2445,11958,Card,34163,3613,None
2025-01-19,Sales,Rapid Parts,EMP102,INV3389,57481,Cash,22133,9091,Large Cash Payment
2023-04-14,HR,Zenith Corp,EMP104,INV3309,5564,Card,15973,11749,None
2024-11-14,Sales,Gamma Logistics,EMP104,INV3809,19063,Cash,37137,8852,None
2025-01-15,Sales,Delta Services,EMP999,INV2867,5630,Cash,15930,13518,Ghost Employee
2023-05-26,IT,Rapid Parts,EMP107,INV3274,19271,Bank Transfer,58316,9075,None
2023-03-10,IT,Alpha Supplies,EMP104,INV2259,10383,Bank Transfer,41636,3712,None
2024-12-30,Marketing,Om Industrial,EMP106,INV3271,7776,Card,50286,9627,None
2024-02-14,IT,Om Industrial,EMP102,INV2306,4532,Cash,57505,7047,None
2024-11-14,Sales,Zenith Corp,EMP103,INV3126,15433,Cash,52534,8017,None
2024-03-24,Sales,Beta Traders,EMP101,INV2952,16539,Card,39282,6854,None
2024-04-29,Sales,Delta Services,EMP101,INV2881,12249,Bank Transfer,16010,8985,None
2023-05-14,Operations,Alpha Supplies,EMP106,INV2163,17260,Card,59286,3889,None
2025-05-27,HR,Alpha Supplies,EMP105,INV2396,4090,Card,42235,5156,None
2025-01-08,Operations,Beta Traders,EMP101,INV2325,8764,Card,50208,8305,None
2024-05-06,Operations,Beta Traders,EMP105,INV3001,14000,Card,34396,8227,Duplicate Invoice
2024-11-26,Marketing,Gamma Logistics,EMP104,INV3573,4270,Cash,13183,11695,None
2023-04-18,HR,Gamma Logistics,EMP105,INV2542,12672,Cash,34179,9156,None
2025-01-31,Finance,Delta Services,EMP103,INV3001,14000,Cash,58040,8122,Vendor Kickback
2024-06-08,Marketing,Gamma Logistics,EMP101,INV3254,7946,Cash,11460,3746,None
2024-02-28,Finance,Om Industrial,EMP103,INV2750,7190,Bank Transfer,20395,10780,None
2023-04-09,Marketing,Alpha Supplies,EMP106,INV2823,9339,Card,10753,7329,None
2024-08-15,Finance,Delta Services,EMP105,INV2508,16649,Card,10026,5704,None
2023-03-01,Sales,Zenith Corp,EMP101,INV3345,18552,Card,19323,6231,None
2024-03-01,Marketing,Zenith Corp,EMP105,INV2130,10637,Card,51023,7919,None
2023-01-07,IT,Delta Services,EMP107,INV2164,15745,Card,21494,10413,None
2023-12-10,Operations,Rapid Parts,EMP106,INV2544,2221,Card,54940,10144,None
2023-08-11,Sales,Alpha Supplies,EMP105,INV3852,9031,Bank Transfer,58750,6868,None
2024-02-03,Marketing,Gamma Logistics,EMP105,INV2961,18075,Cash,44774,10735,None
2023-11-12,IT,Zenith Corp,EMP102,INV3001,14000,Card,19476,5810,Duplicate Invoice
2023-05-26,Sales,Rapid Parts,EMP101,INV3418,5035,Bank Transfer,55679,3698,None
2023-07-24,Finance,Zenith Corp,EMP107,INV3801,2660,Card,17019,9288,None
2025-04-11,Sales,Zenith Corp,EMP106,INV2977,9916,Card,18693,4636,None
2024-03-09,Operations,Gamma Logistics,EMP101,INV2099,9760,Cash,31025,9029,None
2025-03-18,IT,Delta Services,EMP101,INV2710,3721,Card,56180,10683,None
2024-08-11,Marketing,Zenith Corp,EMP103,INV3072,57166,Cash,28896,6310,Large Cash Payment
2025-04-25,Finance,Beta Traders,EMP104,INV2533,17380,Cash,28594,5603,None
2025-02-24,HR,Alpha Supplies,EMP104,INV3286,3926,Card,33305,8351,None
2024-03-08,Operations,Rapid Parts,EMP101,INV2539,10433,Bank Transfer,45712,10013,None
2024-04-16,Finance,Beta Traders,EMP105,INV2713,1610,Card,44192,8352,None
2023-06-23,HR,Delta Services,EMP104,INV2473,19478,Cash,31892,5065,None
2024-12-21,Finance,Zenith Corp,EMP107,INV3996,5611,Bank Transfer,57393,7056,None
2023-07-13,Sales,Gamma Logistics,EMP106,INV2400,3830,Bank Transfer,19893,9295,None
2023-07-20,Sales,Alpha Supplies,EMP106,INV3001,14000,Cash,40403,9362,Duplicate Invoice
2024-10-09,Sales,Gamma Logistics,EMP104,INV3236,8928,Bank Transfer,10361,9630,None
2025-02-06,Marketing,Rapid Parts,EMP104,INV3745,19628,Card,54538,6745,None
2024-12-18,Marketing,Alpha Supplies,EMP104,INV2512,5626,Cash,41637,9939,None
2023-07-07,Sales,Rapid Parts,EMP103,INV3859,16551,Cash,12499,4742,None
2023-12-23,Finance,Alpha Supplies,EMP107,INV3001,14000,Cash,43566,10794,Duplicate Invoice
2024-04-12,Marketing,Beta Traders,EMP106,INV3562,42980,Cash,57782,5005,Large Cash Payment
2023-03-18,HR,Delta Services,EMP104,INV3188,12038,Card,17160,7344,None
2023-08-13,IT,Zenith Corp,EMP104,INV2264,5891,Bank Transfer,51569,4128,None
2023-05-30,HR,Gamma Logistics,EMP106,INV2602,15838,Cash,52572,11982,None
2024-01-21,IT,Rapid Parts,EMP103,INV2986,6591,Card,57303,3044,None
2024-05-11,HR,Delta Services,EMP105,INV2312,12376,Bank Transfer,35238,7967,None
2023-05-24,Operations,Om Industrial,EMP107,INV2030,19585,Card,23746,3188,None
2023-05-27,Marketing,Zenith Corp,EMP102,INV3607,11852,Cash,23666,5501,None
2025-03-11,Finance,Alpha Supplies,EMP106,INV2404,10233,Card,55402,11101,None
2023-04-30,Operations,Om Industrial,EMP101,INV3693,8173,Cash,41014,5282,None
2024-05-25,Finance,Beta Traders,EMP105,INV2328,716,Card,40668,8254,None
2024-03-12,Sales,Delta Services,EMP106,INV3302,12308,Bank Transfer,11347,3467,None
2023-04-07,IT,Om Industrial,EMP104,INV2436,1610,Bank Transfer,50978,9809,None
2025-03-08,Marketing,Om Industrial,EMP105,INV2700,14760,Cash,26487,9920,None
2024-05-30,Finance,Gamma Logistics,EMP107,INV3340,7169,Cash,17728,11064,None
2025-03-14,HR,Delta Services,EMP103,INV3116,13804,Card,36114,3814,Vendor Kickback
2024-09-15,Sales,Zenith Corp,EMP106,INV3252,18314,Card,50415,9161,None
2023-03-26,HR,Beta Traders,EMP101,INV3280,15503,Card,16642,5849,None
2024-11-02,Marketing,Delta Services,EMP103,INV3454,62115,Cash,29794,7227,Large Cash Payment
2023-02-25,Finance,Delta Services,EMP105,INV3584,4394,Bank Transfer,47704,9898,None
2024-08-31,Marketing,Om Industrial,EMP999,INV3123,14014,Cash,150626,14483,Ghost Employee
2023-05-05,Marketing,Zenith Corp,EMP101,INV2967,4726,Bank Transfer,28051,3291,None
2023-02-21,HR,Gamma Logistics,EMP107,INV3494,5244,Card,29211,4381,None
2023-09-18,Sales,Alpha Supplies,EMP106,INV2030,2484,Bank Transfer,35490,4305,None
2024-05-13,Operations,Om Industrial,EMP101,INV3490,19340,Cash,40788,10188,None
2024-10-06,IT,Zenith Corp,EMP104,INV3935,15335,Cash,59464,7456,None
2025-04-27,Finance,Om Industrial,EMP103,INV3702,1007,Card,49396,5475,None
2024-02-01,Finance,Rapid Parts,EMP104,INV2580,15287,Bank Transfer,31071,3027,None
2025-03-12,Marketing,Alpha Supplies,EMP103,INV2560,5316,Card,54868,11975,None
2024-05-11,Marketing,Zenith Corp,EMP104,INV2633,8168,Card,54411,3943,None
2023-01-10,IT,Zenith Corp,EMP104,INV3098,3373,Card,14104,8818,None
2024-06-18,Finance,Gamma Logistics,EMP104,INV2387,7114,Card,22603,6484,None
2024-01-03,Finance,Delta Services,EMP107,INV2091,8570,Bank Transfer,34513,11081,None
2023-11-20,Operations,Om Industrial,EMP101,INV3001,14000,Cash,16165,3337,Duplicate Invoice
2023-09-25,IT,Zenith Corp,EMP103,INV3571,15142,Bank Transfer,26645,5144,None
2023-01-29,Finance,Alpha Supplies,EMP101,INV2997,15516,Cash,49194,4051,None
2023-08-27,HR,Rapid Parts,EMP101,INV2374,13381,Card,20467,10345,None
2023-09-20,Finance,Gamma Logistics,EMP101,INV2528,2041,Bank Transfer,56504,11410,None
2023-11-22,Marketing,Zenith Corp,EMP101,INV3207,10290,Card,59669,10229,None
2024-01-19,Marketing,Delta Services,EMP104,INV3653,8313,Cash,54409,5345,None
2025-05-02,Finance,Beta Traders,EMP101,INV3593,29925,Cash,16356,10327,Large Cash Payment
2025-04-22,Sales,Beta Traders,EMP104,INV2292,12494,Card,24526,8439,None
2024-03-25,Operations,Zenith Corp,EMP102,INV2505,13993,Cash,11665,5550,None
2023-11-22,Sales,Delta Services,EMP104,INV2116,17324,Bank Transfer,46696,6459,None
2024-01-09,Marketing,Delta Services,EMP103,INV2799,3697,Bank Transfer,37239,7741,None
2024-10-17,Finance,Alpha Supplies,EMP104,INV2287,17237,Cash,10126,10258,None
2024-02-23,Finance,Beta Traders,EMP103,INV3727,5024,Bank Transfer,44187,5951,None
2023-03-31,IT,Om Industrial,EMP999,INV2421,6244,Cash,50136,14670,Ghost Employee
2025-01-20,HR,Om Industrial,EMP104,INV3660,17488,Bank Transfer,31968,8695,None
2024-02-24,Marketing,Zenith Corp,EMP104,INV2508,9224,Card,46905,6048,None
2024-09-01,Operations,Zenith Corp,EMP101,INV3983,15106,Card,14675,11448,None
2023-11-25,IT,Zenith Corp,EMP106,INV2597,2505,Card,57903,4764,None
2023-01-22,Marketing,Beta Traders,EMP101,INV2343,6476,Card,30441,4682,None
2024-12-16,Operations,Rapid Parts,EMP102,INV2950,19390,Bank Transfer,25621,11567,None
2023-02-16,IT,Gamma Logistics,EMP101,INV3025,19698,Cash,17211,7581,None
2023-05-31,IT,Rapid Parts,EMP105,INV2336,13496,Card,51614,3303,None
2024-02-10,Operations,Alpha Supplies,EMP107,INV2492,13630,Cash,56892,8489,None
2025-05-17,Operations,Om Industrial,EMP101,INV3961,5304,Card,164290,8790,Revenue Inflation
2023-03-12,Marketing,Gamma Logistics,EMP104,INV2461,1182,Card,37572,5284,None
2025-04-08,HR,Alpha Supplies,EMP101,INV3879,9208,Card,51172,7479,None
2024-06-16,Marketing,Alpha Supplies,EMP104,INV2231,9921,Bank Transfer,32777,8003,None
2024-06-10,IT,Gamma Logistics,EMP101,INV3908,17992,Card,38834,5431,None
2023-10-23,HR,Gamma Logistics,EMP102,INV2588,18401,Bank Transfer,49973,10440,None
2024-01-11,Operations,Delta Services,EMP105,INV2960,16158,Card,12029,8087,None
2024-08-22,Operations,Delta Services,EMP101,INV2663,8316,Bank Transfer,42204,8332,None
2023-01-23,Sales,Beta Traders,EMP105,INV2901,11903,Card,43881,4016,None
2023-08-19,Marketing,Rapid Parts,EMP106,INV3368,11543,Cash,19196,8774,None
2025-01-26,IT,Zenith Corp,EMP106,INV2845,4670,Cash,10283,4693,None
2023-06-03,Operations,Delta Services,EMP107,INV2777,4138,Card,55393,10410,None
2024-07-22,HR,Om Industrial,EMP104,INV3611,721,Cash,34947,11184,None
2024-08-18,Operations,Beta Traders,EMP101,INV3963,8451,Cash,183626,8338,Revenue Inflation
2024-05-24,Operations,Gamma Logistics,EMP105,INV3059,14824,Card,57652,11474,None
2023-12-26,HR,Delta Services,EMP101,INV2469,17711,Bank Transfer,36838,4621,None
2025-06-19,IT,Beta Traders,EMP104,INV3571,14923,Cash,55323,8624,None
2025-04-25,Marketing,Gamma Logistics,EMP105,INV3412,10163,Bank Transfer,43349,8625,None
2024-06-07,Marketing,Beta Traders,EMP999,INV2123,6477,Cash,33146,9022,Ghost Employee
2023-11-11,Finance,Delta Services,EMP103,INV3001,14000,Bank Transfer,48417,4613,Vendor Kickback
2024-08-03,HR,Gamma Logistics,EMP107,INV2294,17353,Card,36941,6252,None
2023-01-30,Marketing,Alpha Supplies,EMP101,INV3685,16570,Card,50173,10659,None
2024-08-15,HR,Gamma Logistics,EMP102,INV2564,12094,Bank Transfer,12155,5775,None
2023-12-24,Finance,Beta Traders,EMP104,INV2111,1140,Cash,35951,6605,None
2023-02-15,Marketing,Beta Traders,EMP105,INV3840,701,Cash,29901,10461,None
2024-11-24,HR,Delta Services,EMP106,INV2846,7754,Card,36122,8065,None
2023-06-27,IT,Beta Traders,EMP103,INV3989,750,Bank Transfer,35954,7762,None
2024-02-17,Sales,Rapid Parts,EMP101,INV3134,12009,Cash,35386,7013,None
2023-12-16,Marketing,Zenith Corp,EMP102,INV2189,4755,Card,27672,6216,None
2025-03-25,Marketing,Zenith Corp,EMP102,INV2443,12064,Cash,34700,9638,None
2025-05-28,Marketing,Delta Services,EMP106,INV3220,9044,Card,48506,10214,None
2023-05-09,Sales,Zenith Corp,EMP107,INV2187,17310,Card,244139,11889,Revenue Inflation
2023-11-15,HR,Alpha Supplies,EMP104,INV3589,6301,Bank Transfer,31039,6793,None
2025-04-04,Operations,Om Industrial,EMP107,INV3471,2659,Bank Transfer,15763,8099,None
2024-02-18,HR,Zenith Corp,EMP104,INV3001,14000,Card,21560,7530,Duplicate Invoice
2024-02-27,HR,Alpha Supplies,EMP106,INV2508,15657,Card,33076,9562,None
2024-09-15,HR,Rapid Parts,EMP102,INV2828,1825,Card,49880,3655,None
2023-02-10,HR,Om Industrial,EMP103,INV3156,6387,Card,47366,6729,None
2024-08-12,Sales,Gamma Logistics,EMP101,INV3845,9882,Card,48346,3703,None
2025-03-21,Operations,Gamma Logistics,EMP102,INV2854,3322,Card,58992,9449,None
2024-03-10,HR,Delta Services,EMP103,INV3041,15336,Card,54340,3889,None
2023-05-11,Marketing,Delta Services,EMP107,INV2534,18821,Bank Transfer,45809,5859,None
2023-03-02,Operations,Beta Traders,EMP103,INV2412,3532,Cash,18990,8088,None
2024-06-11,Marketing,Rapid Parts,EMP104,INV3429,12016,Card,18742,7904,None
2025-04-14,IT,Alpha Supplies,EMP105,INV3226,5572,Bank Transfer,36614,10555,None
2023-07-31,Operations,Alpha Supplies,EMP101,INV2226,6959,Cash,39361,8061,None
2024-07-24,Sales,Alpha Supplies,EMP101,INV2171,16409,Cash,58430,8434,None
2024-07-10,Operations,Gamma Logistics,EMP101,INV3285,9870,Bank Transfer,201809,7119,Revenue Inflation
2023-10-31,HR,Gamma Logistics,EMP102,INV2209,6020,Card,58648,8084,None
2023-08-24,Finance,Gamma Logistics,EMP102,INV2490,8808,Cash,12703,3945,None
2023-02-21,IT,Beta Traders,EMP104,INV2613,5660,Cash,19298,4314,None
2023-02-10,IT,Zenith Corp,EMP104,INV3001,14000,Bank Transfer,10183,9102,Duplicate Invoice
2023-05-27,HR,Delta Services,EMP103,INV3455,17363,Bank Transfer,32194,9901,Vendor Kickback
2025-01-12,Operations,Beta Traders,EMP104,INV3646,15021,Bank Transfer,47192,8703,None
2024-07-01,Marketing,Rapid Parts,EMP107,INV3661,3168,Cash,57367,3983,None
2024-05-07,Marketing,Rapid Parts,EMP106,INV3086,11752,Cash,22376,3456,None
2024-07-22,Operations,Om Industrial,EMP104,INV3156,8372,Card,35974,10231,None
2025-02-06,Operations,Alpha Supplies,EMP102,INV2384,3611,Card,53924,11696,None
2024-08-09,HR,Rapid Parts,EMP101,INV3160,19782,Card,36740,4314,None
2024-06-03,Sales,Rapid Parts,EMP107,INV2209,17380,Card,54955,10536,None
2025-03-04,Operations,Delta Services,EMP103,INV2828,2385,Card,13094,6881,Vendor Kickback
2023-11-04,Marketing,Alpha Supplies,EMP106,INV3272,3373,Cash,46894,6303,None
2025-04-03,HR,Zenith Corp,EMP106,INV2251,8876,Bank Transfer,34445,6920,None
2025-04-16,Sales,Om Industrial,EMP103,INV2670,18484,Cash,12237,4850,None
2025-05-08,Sales,Om Industrial,EMP104,INV2226,16492,Bank Transfer,26935,4208,None
2024-01-25,Finance,Zenith Corp,EMP102,INV3001,14000,Cash,39103,7402,Duplicate Invoice
2025-03-30,Sales,Zenith Corp,EMP101,INV3726,13363,Bank Transfer,20373,10794,None
2024-06-13,Operations,Alpha Supplies,EMP103,INV2637,7588,Card,48615,5145,None
2023-12-06,IT,Om Industrial,EMP104,INV2012,10800,Cash,47955,8496,None
2024-10-08,HR,Beta Traders,EMP106,INV2787,9434,Bank Transfer,14160,7478,None
2023-05-23,Finance,Rapid Parts,EMP101,INV3585,7028,Bank Transfer,51490,9983,None
2023-09-01,Marketing,Zenith Corp,EMP107,INV2622,2860,Card,58465,8595,None
2025-01-02,Sales,Delta Services,EMP103,INV3375,11549,Card,41553,8295,None
2023-06-04,Sales,Beta Traders,EMP102,INV2829,15348,Card,35957,10299,None
2023-11-05,Operations,Rapid Parts,EMP103,INV3129,19239,Card,14816,8578,None
2024-08-17,Operations,Gamma Logistics,EMP104,INV3477,14533,Card,41753,4109,None
2025-02-15,Operations,Beta Traders,EMP106,INV2447,1157,Bank Transfer,36186,3781,None
2023-04-12,HR,Beta Traders,EMP102,INV3230,4727,Bank Transfer,15197,3796,None
2023-01-06,Finance,Beta Traders,EMP103,INV3310,991,Card,11807,8290,None
2024-02-20,Operations,Om Industrial,EMP106,INV3768,2382,Bank Transfer,12979,9787,None
2024-02-14,Sales,Gamma Logistics,EMP104,INV3155,10883,Bank Transfer,13671,8135,None
2023-01-20,Marketing,Beta Traders,EMP102,INV2732,3444,Card,37736,8926,None
2024-09-08,Marketing,Om Industrial,EMP103,INV3665,8948,Card,12073,10824,None
2024-04-09,Operations,Om Industrial,EMP103,INV3927,17855,Card,18641,7488,None
2024-01-07,Marketing,Beta Traders,EMP106,INV3918,3446,Cash,50935,3457,None
2024-09-12,Marketing,Gamma Logistics,EMP106,INV3082,5811,Bank Transfer,32991,3475,None
2024-10-13,IT,Delta Services,EMP103,INV2663,7449,Cash,17065,3433,Vendor Kickback
2023-12-26,Finance,Alpha Supplies,EMP102,INV3857,13932,Cash,53060,9153,None
2023-08-25,Operations,Gamma Logistics,EMP102,INV2611,9631,Cash,24195,11169,None
2025-02-08,Operations,Beta Traders,EMP107,INV2678,3397,Cash,41821,3064,None
2023-08-06,Marketing,Om Industrial,EMP101,INV2094,12308,Card,21947,10193,None
2025-04-04,Sales,Alpha Supplies,EMP102,INV2308,10419,Bank Transfer,58235,11235,None
2024-02-29,HR,Gamma Logistics,EMP999,INV3806,13498,Card,12157,10104,Ghost Employee
2024-05-31,Finance,Om Industrial,EMP102,INV3491,3936,Cash,13166,3326,None
2023-05-20,Sales,Om Industrial,EMP104,INV3403,7837,Bank Transfer,19695,11854,None
2025-05-09,Operations,Delta Services,EMP103,INV3497,7838,Bank Transfer,27889,4186,Vendor Kickback
2023-07-21,IT,Om Industrial,EMP101,INV2547,12382,Card,31345,3173,None
2024-12-07,HR,Delta Services,EMP107,INV2817,9301,Card,30857,9913,None
2024-02-24,HR,Zenith Corp,EMP102,INV3244,8334,Bank Transfer,26689,11209,None
2024-11-10,Finance,Alpha Supplies,EMP101,INV2831,2122,Bank Transfer,54882,8314,None
2023-01-01,HR,Delta Services,EMP106,INV2701,17215,Cash,34896,11948,None
2024-02-07,Finance,Om Industrial,EMP103,INV2147,11055,Card,53531,11897,None
2024-04-29,Operations,Zenith Corp,EMP106,INV2976,19816,Card,19311,6624,None
2023-06-23,Marketing,Zenith Corp,EMP103,INV2312,6147,Card,21646,10541,None
2023-02-14,Operations,Gamma Logistics,EMP104,INV2839,4531,Cash,56047,5520,None
2024-04-08,Operations,Rapid Parts,EMP999,INV2913,10019,Cash,39446,10069,Ghost Employee
2024-01-11,HR,Delta Services,EMP105,INV3071,12649,Bank Transfer,184035,8572,Revenue Inflation
2023-07-02,Finance,Gamma Logistics,EMP106,INV2523,11117,Cash,27393,6962,None
2024-03-09,Finance,Zenith Corp,EMP103,INV3469,1938,Cash,34623,10250,None
2025-04-10,Marketing,Gamma Logistics,EMP103,INV2265,19462,Cash,56654,6139,None
2024-04-01,Finance,Delta Services,EMP104,INV3916,16772,Cash,17065,3419,None
2024-04-29,IT,Beta Traders,EMP101,INV2277,16597,Cash,59335,11385,None
2024-11-27,Operations,Gamma Logistics,EMP105,INV2241,57567,Cash,24464,4475,Large Cash Payment
2024-07-31,HR,Delta Services,EMP101,INV2988,11496,Bank Transfer,46069,3897,None
2025-04-16,HR,Alpha Supplies,EMP107,INV2684,11001,Bank Transfer,43962,6117,None
