Emp_ID,Age,Department,Role,Experience_Years,Salary,Performance_Score,Attendance_%,Overtime,Training_Hours,Attrition,Exit_Interview_Summary
1011,45,Maintenance,Manager,8,86268,1,79,Yes,24,Yes,"Exiting Manager in Maintenance (a mid-tenure employee, 8 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1012,24,Production,Executive,8,117201,2,79,No,22,Yes,"Exiting Executive in Production (a mid-tenure employee, 8 yrs exp) left despite competitive pay, suggesting non-monetary drivers and had a low performance rating and expressed disengagement prior to leaving."
1013,43,HR,Supervisor,7,63243,5,80,No,33,Yes,"Exiting Supervisor in HR (a mid-tenure employee, 7 yrs exp) left despite competitive pay, suggesting non-monetary drivers and was a strong, experienced performer who left for external career growth."
1014,23,IT,Engineer,8,82384,5,87,Yes,10,No,"N/A - Active employee, no exit interview conducted."
1015,45,Finance,Executive,14,56653,3,83,No,36,Yes,"Exiting Executive in Finance (a mid-tenure employee, 14 yrs exp) felt compensation was below market rate for the role."
1016,51,Production,Executive,19,51657,2,96,Yes,33,Yes,"Exiting Executive in Production (a long-tenured employee, 19 yrs exp) felt compensation was below market rate for the role and mentioned excessive overtime affecting work-life balance."
1017,59,HR,Executive,6,64952,3,89,Yes,47,Yes,"Exiting Executive in HR (a mid-tenure employee, 6 yrs exp) mentioned excessive overtime affecting work-life balance."
1018,23,Finance,Manager,1,47180,2,88,No,6,Yes,"Exiting Manager in Finance (a short-tenured employee, 1 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1019,42,IT,Supervisor,23,103411,3,98,No,27,No,"N/A - Active employee, no exit interview conducted."
1020,54,Finance,Manager,15,26622,5,81,No,23,Yes,"Exiting Manager in Finance (a long-tenured employee, 15 yrs exp) felt compensation was below market rate for the role and was a strong, experienced performer who left for external career growth."
1021,33,HR,Supervisor,1,73756,5,99,Yes,35,Yes,"Exiting Supervisor in HR (a short-tenured employee, 1 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1022,43,Finance,Manager,17,65809,1,94,Yes,9,Yes,"Exiting Manager in Finance (a long-tenured employee, 17 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1023,46,Maintenance,Manager,1,41725,3,76,No,23,Yes,"Exiting Manager in Maintenance (a short-tenured employee, 1 yrs exp) felt compensation was below market rate for the role and had below-average attendance, indicating possible prior disengagement."
1024,48,Finance,Engineer,15,86396,4,81,No,38,Yes,"Exiting Engineer in Finance (a long-tenured employee, 15 yrs exp) left despite competitive pay, suggesting non-monetary drivers and was a strong, experienced performer who left for external career growth."
1025,49,Production,Manager,23,76226,1,80,No,14,Yes,"Exiting Manager in Production (a long-tenured employee, 23 yrs exp) had a low performance rating and expressed disengagement prior to leaving and had below-average attendance, indicating possible prior disengagement."
1026,37,Production,Technician,2,106182,3,91,No,29,No,"N/A - Active employee, no exit interview conducted."
1027,36,Maintenance,Engineer,14,107565,3,99,Yes,6,No,"N/A - Active employee, no exit interview conducted."
1028,24,HR,Manager,21,54402,1,99,No,15,Yes,"Exiting Manager in HR (a long-tenured employee, 21 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1029,58,Production,Executive,8,29263,5,76,Yes,35,Yes,"Exiting Executive in Production (a mid-tenure employee, 8 yrs exp) felt compensation was below market rate for the role and mentioned excessive overtime affecting work-life balance."
1030,28,IT,Technician,8,71828,3,77,Yes,19,Yes,"Exiting Technician in IT (a mid-tenure employee, 8 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1031,42,Production,Technician,19,72924,5,79,No,13,Yes,"Exiting Technician in Production (a long-tenured employee, 19 yrs exp) was a strong, experienced performer who left for external career growth and had below-average attendance, indicating possible prior disengagement."
1032,30,Production,Technician,7,99182,1,79,No,27,Yes,"Exiting Technician in Production (a mid-tenure employee, 7 yrs exp) left despite competitive pay, suggesting non-monetary drivers and had a low performance rating and expressed disengagement prior to leaving."
1033,39,HR,Engineer,19,118065,5,75,No,23,Yes,"Exiting Engineer in HR (a long-tenured employee, 19 yrs exp) left despite competitive pay, suggesting non-monetary drivers and was a strong, experienced performer who left for external career growth."
1034,25,Finance,Manager,6,84052,2,82,Yes,13,Yes,"Exiting Manager in Finance (a mid-tenure employee, 6 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1035,46,Production,Manager,6,36664,4,86,No,39,No,"N/A - Active employee, no exit interview conducted."
1036,35,Maintenance,Executive,3,60737,3,98,No,25,No,"N/A - Active employee, no exit interview conducted."
1037,30,Finance,Executive,7,114563,4,78,Yes,13,Yes,"Exiting Executive in Finance (a mid-tenure employee, 7 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1038,47,IT,Technician,19,54373,5,87,No,32,No,"N/A - Active employee, no exit interview conducted."
1039,23,HR,Executive,8,61397,3,97,Yes,11,No,"N/A - Active employee, no exit interview conducted."
1040,41,IT,Engineer,10,111145,5,89,No,20,No,"N/A - Active employee, no exit interview conducted."
1041,49,Finance,Manager,20,63709,2,85,Yes,20,Yes,"Exiting Manager in Finance (a long-tenured employee, 20 yrs exp) cited burnout from frequent overtime with limited support or upskilling and had a low performance rating and expressed disengagement prior to leaving."
1042,28,Finance,Technician,15,86120,1,84,No,37,Yes,"Exiting Technician in Finance (a long-tenured employee, 15 yrs exp) had a low performance rating and expressed disengagement prior to leaving."
1043,29,Finance,Executive,15,44250,3,77,No,8,Yes,"Exiting Executive in Finance (a long-tenured employee, 15 yrs exp) felt compensation was below market rate for the role and had below-average attendance, indicating possible prior disengagement."
1044,56,IT,Engineer,1,46172,2,96,Yes,8,Yes,"Exiting Engineer in IT (a short-tenured employee, 1 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1045,35,Finance,Engineer,20,36555,2,88,Yes,43,Yes,"Exiting Engineer in Finance (a long-tenured employee, 20 yrs exp) felt compensation was below market rate for the role and mentioned excessive overtime affecting work-life balance."
1046,38,IT,Executive,7,112410,3,90,No,44,No,"N/A - Active employee, no exit interview conducted."
1047,57,Finance,Manager,4,103617,5,84,Yes,21,Yes,"Exiting Manager in Finance (a mid-tenure employee, 4 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1048,25,Maintenance,Executive,6,78276,2,84,Yes,41,Yes,"Exiting Executive in Maintenance (a mid-tenure employee, 6 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1049,23,Finance,Technician,1,82492,4,86,Yes,43,Yes,"Exiting Technician in Finance (a short-tenured employee, 1 yrs exp) mentioned excessive overtime affecting work-life balance and was newly trained but left early, raising onboarding/retention concerns."
1050,27,IT,Executive,5,78002,2,83,Yes,33,Yes,"Exiting Executive in IT (a mid-tenure employee, 5 yrs exp) mentioned excessive overtime affecting work-life balance and had a low performance rating and expressed disengagement prior to leaving."
1051,25,Production,Engineer,23,114599,5,75,No,40,Yes,"Exiting Engineer in Production (a long-tenured employee, 23 yrs exp) left despite competitive pay, suggesting non-monetary drivers and was a strong, experienced performer who left for external career growth."
1052,50,Finance,Executive,1,97355,5,79,No,42,Yes,"Exiting Executive in Finance (a short-tenured employee, 1 yrs exp) left despite competitive pay, suggesting non-monetary drivers and had below-average attendance, indicating possible prior disengagement."
1053,39,Production,Manager,4,116248,4,94,Yes,43,Yes,"Exiting Manager in Production (a mid-tenure employee, 4 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1054,47,Maintenance,Supervisor,22,49762,2,82,Yes,41,Yes,"Exiting Supervisor in Maintenance (a long-tenured employee, 22 yrs exp) felt compensation was below market rate for the role and mentioned excessive overtime affecting work-life balance."
1055,55,HR,Executive,2,36046,5,85,Yes,39,Yes,"Exiting Executive in HR (a short-tenured employee, 2 yrs exp) felt compensation was below market rate for the role and mentioned excessive overtime affecting work-life balance."
1056,31,Maintenance,Manager,10,53769,3,86,Yes,11,Yes,"Exiting Manager in Maintenance (a mid-tenure employee, 10 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1057,57,Finance,Manager,5,78302,1,75,No,31,Yes,"Exiting Manager in Finance (a mid-tenure employee, 5 yrs exp) left despite competitive pay, suggesting non-monetary drivers and had a low performance rating and expressed disengagement prior to leaving."
1058,35,Production,Engineer,10,48150,1,99,No,32,Yes,"Exiting Engineer in Production (a mid-tenure employee, 10 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1059,52,Production,Manager,1,93247,1,96,Yes,26,Yes,"Exiting Manager in Production (a short-tenured employee, 1 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1060,36,IT,Manager,22,29853,2,94,Yes,18,Yes,"Exiting Manager in IT (a long-tenured employee, 22 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1061,29,Production,Manager,6,119613,4,99,Yes,11,No,"N/A - Active employee, no exit interview conducted."
1062,35,IT,Manager,13,114399,5,85,No,41,No,"N/A - Active employee, no exit interview conducted."
1063,44,HR,Technician,15,46792,3,79,Yes,26,Yes,"Exiting Technician in HR (a long-tenured employee, 15 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1064,42,Finance,Technician,4,84129,3,89,No,9,No,"N/A - Active employee, no exit interview conducted."
1065,37,IT,Engineer,13,99478,2,79,Yes,6,Yes,"Exiting Engineer in IT (a mid-tenure employee, 13 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1066,39,HR,Executive,24,92298,1,86,No,31,Yes,"Exiting Executive in HR (a long-tenured employee, 24 yrs exp) left despite competitive pay, suggesting non-monetary drivers and had a low performance rating and expressed disengagement prior to leaving."
1067,45,Production,Manager,20,56987,2,79,Yes,25,Yes,"Exiting Manager in Production (a long-tenured employee, 20 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1068,47,Production,Executive,24,40850,4,91,No,42,No,"N/A - Active employee, no exit interview conducted."
1069,46,HR,Executive,15,37112,4,91,Yes,19,Yes,"Exiting Executive in HR (a long-tenured employee, 15 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1070,50,Production,Engineer,8,49058,5,98,Yes,25,Yes,"Exiting Engineer in Production (a mid-tenure employee, 8 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1071,36,HR,Manager,5,70420,5,86,Yes,14,No,"N/A - Active employee, no exit interview conducted."
1072,22,IT,Manager,15,63890,4,98,No,27,No,"N/A - Active employee, no exit interview conducted."
1073,46,IT,Supervisor,4,91017,4,89,Yes,43,No,"N/A - Active employee, no exit interview conducted."
1074,28,HR,Executive,12,72304,4,89,No,9,No,"N/A - Active employee, no exit interview conducted."
1075,30,IT,Executive,13,57921,2,80,No,5,Yes,"Exiting Executive in IT (a mid-tenure employee, 13 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1076,45,IT,Technician,2,26524,4,86,Yes,17,No,"N/A - Active employee, no exit interview conducted."
1077,22,IT,Supervisor,19,40048,3,94,Yes,25,Yes,"Exiting Supervisor in IT (a long-tenured employee, 19 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1078,29,Maintenance,Technician,19,60111,1,92,Yes,30,Yes,"Exiting Technician in Maintenance (a long-tenured employee, 19 yrs exp) felt compensation was below market rate for the role and mentioned excessive overtime affecting work-life balance."
1079,45,Finance,Technician,4,62904,4,88,No,49,No,"N/A - Active employee, no exit interview conducted."
1080,32,Production,Technician,4,79912,1,76,Yes,25,Yes,"Exiting Technician in Production (a mid-tenure employee, 4 yrs exp) cited burnout from frequent overtime with limited support or upskilling and had a low performance rating and expressed disengagement prior to leaving."
1081,38,Maintenance,Engineer,11,59008,2,83,No,22,Yes,"Exiting Engineer in Maintenance (a mid-tenure employee, 11 yrs exp) had a low performance rating and expressed disengagement prior to leaving."
1082,29,IT,Engineer,5,25060,1,79,No,41,Yes,"Exiting Engineer in IT (a mid-tenure employee, 5 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1083,56,HR,Technician,20,99666,2,94,Yes,49,Yes,"Exiting Technician in HR (a long-tenured employee, 20 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1084,56,IT,Supervisor,11,108559,3,75,Yes,36,Yes,"Exiting Supervisor in IT (a mid-tenure employee, 11 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1085,54,Finance,Executive,10,80337,2,97,Yes,40,Yes,"Exiting Executive in Finance (a mid-tenure employee, 10 yrs exp) mentioned excessive overtime affecting work-life balance and had a low performance rating and expressed disengagement prior to leaving."
1086,26,IT,Supervisor,8,38350,2,77,Yes,21,Yes,"Exiting Supervisor in IT (a mid-tenure employee, 8 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1087,49,HR,Manager,6,49354,5,80,Yes,39,Yes,"Exiting Manager in HR (a mid-tenure employee, 6 yrs exp) felt compensation was below market rate for the role and mentioned excessive overtime affecting work-life balance."
1088,28,Finance,Engineer,6,70186,4,79,Yes,15,Yes,"Exiting Engineer in Finance (a mid-tenure employee, 6 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1089,30,IT,Executive,8,53145,4,95,No,25,No,"N/A - Active employee, no exit interview conducted."
1090,29,Finance,Executive,23,59020,3,79,No,30,Yes,"Exiting Executive in Finance (a long-tenured employee, 23 yrs exp) felt compensation was below market rate for the role and had below-average attendance, indicating possible prior disengagement."
1091,33,Production,Manager,15,111123,3,75,No,8,Yes,"Exiting Manager in Production (a long-tenured employee, 15 yrs exp) left despite competitive pay, suggesting non-monetary drivers and had below-average attendance, indicating possible prior disengagement."
1092,55,Production,Manager,14,100186,4,91,Yes,38,No,"N/A - Active employee, no exit interview conducted."
1093,54,IT,Technician,11,110469,5,93,No,22,No,"N/A - Active employee, no exit interview conducted."
1094,44,Finance,Engineer,12,45581,4,88,No,44,No,"N/A - Active employee, no exit interview conducted."
1095,45,HR,Engineer,13,113929,5,86,No,39,No,"N/A - Active employee, no exit interview conducted."
1096,58,IT,Supervisor,8,48051,3,84,No,45,Yes,"Exiting Supervisor in IT (a mid-tenure employee, 8 yrs exp) felt compensation was below market rate for the role."
1097,56,Production,Technician,18,76474,1,94,No,33,Yes,"Exiting Technician in Production (a long-tenured employee, 18 yrs exp) had a low performance rating and expressed disengagement prior to leaving."
1098,43,Production,Technician,1,116748,3,95,Yes,33,Yes,"Exiting Technician in Production (a short-tenured employee, 1 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1099,48,IT,Technician,15,94626,3,92,Yes,42,No,"N/A - Active employee, no exit interview conducted."
1100,56,Finance,Technician,8,31960,2,98,No,46,Yes,"Exiting Technician in Finance (a mid-tenure employee, 8 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1101,22,Production,Engineer,11,60772,2,85,No,25,Yes,"Exiting Engineer in Production (a mid-tenure employee, 11 yrs exp) had a low performance rating and expressed disengagement prior to leaving."
1102,56,Finance,Engineer,12,46520,2,76,No,46,Yes,"Exiting Engineer in Finance (a mid-tenure employee, 12 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1103,58,Production,Technician,12,74481,2,99,Yes,17,Yes,"Exiting Technician in Production (a mid-tenure employee, 12 yrs exp) cited burnout from frequent overtime with limited support or upskilling and had a low performance rating and expressed disengagement prior to leaving."
1104,35,Production,Supervisor,4,61408,5,92,Yes,45,No,"N/A - Active employee, no exit interview conducted."
1105,24,Maintenance,Executive,16,119006,4,99,No,21,No,"N/A - Active employee, no exit interview conducted."
1106,22,Production,Executive,4,82134,1,81,Yes,13,Yes,"Exiting Executive in Production (a mid-tenure employee, 4 yrs exp) cited burnout from frequent overtime with limited support or upskilling and had a low performance rating and expressed disengagement prior to leaving."
1107,26,HR,Supervisor,5,45491,3,98,Yes,45,No,"N/A - Active employee, no exit interview conducted."
1108,47,IT,Technician,24,26341,5,89,No,5,No,"N/A - Active employee, no exit interview conducted."
1109,35,IT,Engineer,5,69623,1,85,Yes,6,Yes,"Exiting Engineer in IT (a mid-tenure employee, 5 yrs exp) cited burnout from frequent overtime with limited support or upskilling and had a low performance rating and expressed disengagement prior to leaving."
1110,48,Finance,Executive,8,115327,5,92,Yes,33,Yes,"Exiting Executive in Finance (a mid-tenure employee, 8 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1111,30,Production,Manager,10,25338,5,97,No,37,No,"N/A - Active employee, no exit interview conducted."
1112,36,HR,Manager,17,96431,3,86,Yes,14,Yes,"Exiting Manager in HR (a long-tenured employee, 17 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1113,36,Finance,Supervisor,9,37254,4,80,Yes,44,Yes,"Exiting Supervisor in Finance (a mid-tenure employee, 9 yrs exp) felt compensation was below market rate for the role and mentioned excessive overtime affecting work-life balance."
1114,47,Maintenance,Technician,22,76860,2,94,No,25,Yes,"Exiting Technician in Maintenance (a long-tenured employee, 22 yrs exp) had a low performance rating and expressed disengagement prior to leaving."
1115,34,Finance,Executive,19,36344,4,97,Yes,32,No,"N/A - Active employee, no exit interview conducted."
1116,53,Finance,Technician,14,26750,3,87,Yes,15,No,"N/A - Active employee, no exit interview conducted."
1117,53,Production,Executive,8,79756,3,94,No,38,No,"N/A - Active employee, no exit interview conducted."
1118,25,Maintenance,Supervisor,9,92957,3,90,No,12,No,"N/A - Active employee, no exit interview conducted."
1119,51,Finance,Supervisor,22,83053,1,92,No,26,Yes,"Exiting Supervisor in Finance (a long-tenured employee, 22 yrs exp) had a low performance rating and expressed disengagement prior to leaving."
1120,58,HR,Manager,11,95855,4,84,Yes,12,Yes,"Exiting Manager in HR (a mid-tenure employee, 11 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1121,44,HR,Technician,23,40896,4,97,No,19,No,"N/A - Active employee, no exit interview conducted."
1122,36,IT,Manager,1,80761,5,82,Yes,21,Yes,"Exiting Manager in IT (a short-tenured employee, 1 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1123,50,Maintenance,Technician,14,87552,5,92,No,27,No,"N/A - Active employee, no exit interview conducted."
1124,57,Maintenance,Manager,5,102454,5,95,Yes,28,Yes,"Exiting Manager in Maintenance (a mid-tenure employee, 5 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1125,34,IT,Engineer,21,115600,3,75,No,49,Yes,"Exiting Engineer in IT (a long-tenured employee, 21 yrs exp) left despite competitive pay, suggesting non-monetary drivers and had below-average attendance, indicating possible prior disengagement."
1126,53,Finance,Engineer,14,52935,4,97,No,23,No,"N/A - Active employee, no exit interview conducted."
1127,28,Maintenance,Engineer,4,62641,3,82,No,9,Yes,"Exiting Engineer in Maintenance (a mid-tenure employee, 4 yrs exp) received minimal training investment and felt underdeveloped in the role."
1128,43,HR,Engineer,22,54711,1,80,No,36,Yes,"Exiting Engineer in HR (a long-tenured employee, 22 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1129,49,HR,Executive,23,95342,5,79,Yes,48,Yes,"Exiting Executive in HR (a long-tenured employee, 23 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1130,23,Production,Engineer,1,37182,3,89,No,5,No,"N/A - Active employee, no exit interview conducted."
1131,27,Maintenance,Supervisor,22,112833,3,96,No,27,No,"N/A - Active employee, no exit interview conducted."
1132,49,Finance,Supervisor,23,81276,1,89,Yes,41,Yes,"Exiting Supervisor in Finance (a long-tenured employee, 23 yrs exp) mentioned excessive overtime affecting work-life balance and had a low performance rating and expressed disengagement prior to leaving."
1133,49,IT,Executive,19,44541,2,76,No,12,Yes,"Exiting Executive in IT (a long-tenured employee, 19 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1134,41,IT,Engineer,8,119457,4,75,Yes,17,Yes,"Exiting Engineer in IT (a mid-tenure employee, 8 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1135,51,Finance,Engineer,15,107310,2,97,No,12,Yes,"Exiting Engineer in Finance (a long-tenured employee, 15 yrs exp) left despite competitive pay, suggesting non-monetary drivers and had a low performance rating and expressed disengagement prior to leaving."
1136,32,Production,Engineer,21,69813,5,97,No,27,No,"N/A - Active employee, no exit interview conducted."
1137,49,IT,Manager,15,62198,3,85,No,47,No,"N/A - Active employee, no exit interview conducted."
1138,46,Maintenance,Technician,9,33820,1,84,Yes,5,Yes,"Exiting Technician in Maintenance (a mid-tenure employee, 9 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1139,54,Production,Manager,21,49070,1,92,No,49,Yes,"Exiting Manager in Production (a long-tenured employee, 21 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1140,22,Maintenance,Technician,9,94768,4,92,No,28,No,"N/A - Active employee, no exit interview conducted."
1141,48,HR,Engineer,10,36122,2,91,No,39,Yes,"Exiting Engineer in HR (a mid-tenure employee, 10 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1142,34,Production,Engineer,20,105559,4,82,Yes,28,Yes,"Exiting Engineer in Production (a long-tenured employee, 20 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1143,24,IT,Manager,21,98543,3,89,Yes,21,No,"N/A - Active employee, no exit interview conducted."
1144,27,Production,Manager,9,108441,4,82,No,9,Yes,"Exiting Manager in Production (a mid-tenure employee, 9 yrs exp) left despite competitive pay, suggesting non-monetary drivers and was a strong, experienced performer who left for external career growth."
1145,29,Production,Technician,3,66786,1,91,Yes,24,Yes,"Exiting Technician in Production (a mid-tenure employee, 3 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1146,48,Production,Supervisor,20,119934,1,86,No,25,Yes,"Exiting Supervisor in Production (a long-tenured employee, 20 yrs exp) left despite competitive pay, suggesting non-monetary drivers and had a low performance rating and expressed disengagement prior to leaving."
1147,30,Production,Technician,11,31737,5,82,No,44,Yes,"Exiting Technician in Production (a mid-tenure employee, 11 yrs exp) felt compensation was below market rate for the role and was a strong, experienced performer who left for external career growth."
1148,58,Maintenance,Manager,6,61062,5,99,No,35,No,"N/A - Active employee, no exit interview conducted."
1149,54,HR,Manager,2,79237,3,88,No,40,No,"N/A - Active employee, no exit interview conducted."
1150,45,Finance,Executive,7,76571,2,78,No,15,Yes,"Exiting Executive in Finance (a mid-tenure employee, 7 yrs exp) had a low performance rating and expressed disengagement prior to leaving and had below-average attendance, indicating possible prior disengagement."
1151,36,Production,Manager,18,50510,4,75,No,19,Yes,"Exiting Manager in Production (a long-tenured employee, 18 yrs exp) felt compensation was below market rate for the role and was a strong, experienced performer who left for external career growth."
1152,53,IT,Executive,2,44426,3,75,No,23,Yes,"Exiting Executive in IT (a short-tenured employee, 2 yrs exp) felt compensation was below market rate for the role and had below-average attendance, indicating possible prior disengagement."
1153,53,Production,Supervisor,17,62265,5,93,Yes,11,Yes,"Exiting Supervisor in Production (a long-tenured employee, 17 yrs exp) felt compensation was below market rate for the role and cited burnout from frequent overtime with limited support or upskilling."
1154,45,IT,Technician,11,42850,4,90,Yes,32,No,"N/A - Active employee, no exit interview conducted."
1155,33,Maintenance,Technician,12,91150,5,88,Yes,47,No,"N/A - Active employee, no exit interview conducted."
1156,23,IT,Executive,19,112312,4,95,Yes,9,Yes,"Exiting Executive in IT (a long-tenured employee, 19 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1157,24,Finance,Technician,22,114613,2,90,Yes,9,Yes,"Exiting Technician in Finance (a long-tenured employee, 22 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1158,58,HR,Manager,24,99910,3,79,Yes,34,Yes,"Exiting Manager in HR (a long-tenured employee, 24 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1159,38,IT,Engineer,7,77375,4,83,Yes,36,Yes,"Exiting Engineer in IT (a mid-tenure employee, 7 yrs exp) left despite competitive pay, suggesting non-monetary drivers and mentioned excessive overtime affecting work-life balance."
1160,23,IT,Executive,20,60435,1,76,No,12,Yes,"Exiting Executive in IT (a long-tenured employee, 20 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1161,23,HR,Technician,6,82132,1,92,No,14,Yes,"Exiting Technician in HR (a mid-tenure employee, 6 yrs exp) had a low performance rating and expressed disengagement prior to leaving."
1162,49,Finance,Executive,21,103945,4,80,No,42,Yes,"Exiting Executive in Finance (a long-tenured employee, 21 yrs exp) left despite competitive pay, suggesting non-monetary drivers and was a strong, experienced performer who left for external career growth."
1163,44,Production,Executive,24,107050,4,83,No,36,Yes,"Exiting Executive in Production (a long-tenured employee, 24 yrs exp) left despite competitive pay, suggesting non-monetary drivers and was a strong, experienced performer who left for external career growth."
