Order_ID,Order_Date,City,State,Zone,Distance_km,Package_Weight_kg,Service_Type,Payment_Mode,Customer_Segment,Courier_Partner,Traffic_Level,Weather,Promised_Delivery_Hrs,Actual_Delivery_Hrs,Delay_Hrs,On_Time_Flag,Last_Mile_Status,Customer_Rating
ORD000019,2026-01-19,Bhopal,MP,South,9.9,0.35,Standard,COD,Returning,BlueDart,Low,Clear,31,32.4,1.4,No,Delivered,4
ORD000020,2025-12-14,Lucknow,UP,North,4.4,1.66,Standard,COD,VIP,Delhivery,Medium,Fog,32,34.2,2.2,No,Delivered,4
ORD000021,2026-01-21,Surat,GJ,North,8.6,1.52,Standard,Prepaid,Returning,Delhivery,Medium,Clear,29,30.5,1.5,No,Delivered,5
ORD000022,2026-01-04,Ahmedabad,GJ,West,8.0,0.45,SameDay,Prepaid,Returning,BlueDart,Medium,Clear,4,3.1,-0.9,Yes,Delivered,4
ORD000023,2026-02-19,Bangalore,KA,South,12.9,1.23,Express,Prepaid,Returning,Shadowfax,Severe,Rain,17,22.8,5.8,No,Delivered,4
ORD000024,2026-01-26,Gurgaon,HR,West,9.7,1.6,Standard,Prepaid,Returning,Delhivery,Medium,Clear,28,31.1,3.1,No,Delivered,4
ORD000025,2025-12-28,Patna,BR,East,8.5,0.42,Express,COD,New,EcomExpress,High,Fog,13,17.4,4.4,No,Delivered,4
ORD000026,2025-12-08,Nagpur,MH,North,1.6,1.31,Standard,COD,New,EcomExpress,Low,Clear,30,29.3,-0.7,Yes,Delivered,5
ORD000027,2026-01-13,Jaipur,RJ,East,5.4,0.74,Express,Prepaid,New,AmazonLogistics,High,Heatwave,13,14.2,1.2,No,Delivered,4
ORD000028,2026-01-21,Bhopal,MP,East,4.3,1.53,Standard,COD,New,AmazonLogistics,Low,Fog,47,50.9,3.9,No,Delivered,4
ORD000029,2025-12-10,Surat,GJ,East,4.2,0.63,Standard,Prepaid,New,BlueDart,High,Clear,14,18.5,4.5,No,Delivered,4
ORD000030,2026-01-16,Jaipur,RJ,West,7.6,2.07,Standard,COD,New,Delhivery,Low,Clear,37,38.8,1.8,No,Delivered,4
ORD000031,2026-02-10,Lucknow,UP,West,8.5,0.95,Express,Prepaid,Returning,Delhivery,Medium,Rain,9,14.1,5.1,No,Delivered,5
ORD000032,2026-02-21,Hyderabad,TG,West,8.6,0.76,Express,Prepaid,New,Delhivery,Medium,Rain,14,16.6,2.6,No,Delivered,4
ORD000033,2026-02-08,Pune,MH,West,12.5,0.72,Express,COD,New,BlueDart,Medium,Clear,18,22.2,4.2,No,Delivered,4
ORD000034,2025-12-15,Indore,MP,North,9.4,1.87,Standard,Prepaid,New,Delhivery,Medium,Clear,24,25.4,1.4,No,Delivered,4
ORD000035,2025-12-29,Chandigarh,CH,Central,2.6,0.72,Express,Prepaid,New,EcomExpress,Medium,Clear,10,12.3,2.3,No,Delivered,4
ORD000036,2025-12-10,Pune,MH,West,8.3,2.09,Standard,Prepaid,Returning,Ekart,Severe,Rain,33,40.0,7.0,No,Delivered,4
ORD000037,2026-01-24,Chandigarh,CH,East,9.8,1.26,Express,Prepaid,Returning,Shadowfax,Medium,Rain,17,18.7,1.7,No,Delivered,3
ORD000038,2025-12-18,Bhopal,MP,South,12.5,0.48,Standard,Prepaid,Returning,AmazonLogistics,Medium,Clear,46,46.9,0.9,No,Delivered,5
ORD000039,2025-12-12,Chennai,TN,North,6.9,1.12,Express,Prepaid,Returning,Delhivery,High,Clear,9,12.6,3.6,No,Delivered,3
ORD000040,2026-01-17,Nagpur,MH,South,6.9,1.14,SameDay,Prepaid,VIP,EcomExpress,High,Rain,9,12.0,3.0,No,Delivered,4
ORD000041,2026-02-05,Bangalore,KA,South,11.8,0.47,Standard,COD,Returning,Ekart,Medium,Heatwave,33,37.4,4.4,No,Delivered,3
ORD000042,2025-12-14,Patna,BR,South,8.2,1.11,Express,Prepaid,New,BlueDart,Medium,Clear,7,6.9,-0.1,Yes,Delivered,5
ORD000043,2025-12-22,Coimbatore,TN,South,1.1,1.53,Standard,Prepaid,New,XpressBees,Low,Clear,22,23.3,1.3,No,Delivered,4
ORD000044,2026-01-30,Ahmedabad,GJ,North,0.5,2.17,Standard,Prepaid,Returning,Ekart,Medium,Clear,14,13.6,-0.4,Yes,Delivered,5
ORD000045,2026-01-23,Pune,MH,South,14.9,2.12,Standard,Prepaid,Returning,XpressBees,Medium,Rain,31,36.5,5.5,No,Delivered,4
ORD000046,2026-02-15,Noida,UP,South,0.6,4.63,Express,COD,Returning,EcomExpress,High,Clear,10,14.3,4.3,No,Delivered,4
ORD000047,2025-12-11,Jaipur,RJ,Central,6.8,1.11,Standard,Prepaid,New,Shadowfax,High,Clear,34,37.0,3.0,No,Delivered,4
ORD000048,2026-01-24,Chandigarh,CH,North,11.0,1.54,Standard,Prepaid,VIP,Delhivery,Medium,Rain,40,44.2,4.2,No,Delivered,5
ORD000049,2026-01-17,Kochi,KL,South,0.5,0.77,Express,Prepaid,Returning,Delhivery,Low,Clear,6,8.1,2.1,No,Delivered,3
ORD000050,2026-01-06,Patna,BR,South,3.2,3.42,Standard,Prepaid,VIP,Delhivery,Medium,Clear,34,34.6,0.6,No,NDR_Pending,4
ORD000051,2026-02-02,Patna,BR,South,2.5,0.65,Express,Prepaid,Returning,Ekart,Medium,Clear,13,13.8,0.8,No,Delivered,4
ORD000052,2026-01-14,Bangalore,KA,South,14.7,3.33,Standard,Prepaid,New,DTDC,Medium,Clear,42,46.0,4.0,No,Delivered,4
ORD000053,2026-02-28,Ahmedabad,GJ,West,15.6,3.09,Standard,Prepaid,Returning,EcomExpress,High,Clear,47,52.1,5.1,No,Delivered,4
ORD000054,2025-12-27,Lucknow,UP,Central,4.6,0.69,Express,Prepaid,New,EcomExpress,Medium,Clear,9,10.5,1.5,No,Delivered,4
ORD000055,2026-02-14,Lucknow,UP,South,9.8,2.06,Standard,Prepaid,New,DTDC,Severe,Clear,18,22.2,4.2,No,RTO,2
ORD000056,2026-02-20,Mumbai,MH,West,8.7,1.45,Standard,Prepaid,Returning,Ekart,Medium,Clear,48,51.4,3.4,No,Delivered,3
ORD000057,2026-02-28,Surat,GJ,North,6.4,0.86,Express,Prepaid,Returning,EcomExpress,Low,Heatwave,15,15.5,0.5,No,Delivered,4
ORD000058,2026-01-03,Bangalore,KA,North,1.0,1.02,SameDay,Prepaid,New,EcomExpress,Medium,Heatwave,5,9.9,4.9,No,Delivered,4
ORD000059,2026-01-08,Coimbatore,TN,South,16.7,1.3,Standard,Prepaid,Returning,AmazonLogistics,High,Clear,23,25.5,2.5,No,Delivered,4
ORD000060,2026-02-21,Kochi,KL,North,0.5,1.37,SameDay,Prepaid,Returning,Ekart,Medium,Rain,3,4.7,1.7,No,Delivered,4
ORD000061,2026-02-07,Gurgaon,HR,West,8.3,2.71,Express,Prepaid,New,Ekart,Medium,Clear,8,10.6,2.6,No,Delivered,5
ORD000062,2026-03-02,Coimbatore,TN,West,4.9,1.56,Standard,Prepaid,New,EcomExpress,Medium,Rain,31,35.3,4.3,No,Delivered,3
ORD000063,2026-01-04,Ahmedabad,GJ,West,11.5,0.7,Standard,Prepaid,Returning,Delhivery,High,Fog,46,51.0,5.0,No,Delivered,4
ORD000064,2025-12-28,Noida,UP,South,10.9,1.73,Standard,Prepaid,New,BlueDart,Severe,Rain,42,50.8,8.8,No,Delivered,4
ORD000065,2026-02-04,Jaipur,RJ,West,3.6,0.39,Standard,Prepaid,VIP,EcomExpress,Medium,Rain,41,44.8,3.8,No,Reattempted,5
ORD000066,2026-02-21,Kolkata,WB,South,4.3,0.88,Standard,Prepaid,New,Ekart,Medium,Clear,26,27.4,1.4,No,Delivered,4
ORD000067,2026-02-27,Gurgaon,HR,North,1.3,0.93,Standard,Prepaid,Returning,Delhivery,Medium,Clear,25,26.7,1.7,No,Delivered,5
ORD000068,2026-02-19,Ahmedabad,GJ,North,8.3,1.64,Standard,Prepaid,Returning,XpressBees,Medium,Clear,29,32.8,3.8,No,Delivered,4
ORD000069,2026-03-03,Pune,MH,West,10.3,3.2,SameDay,Prepaid,New,Ekart,Severe,Clear,8,15.4,7.4,No,Delivered,3
ORD000070,2026-01-29,Lucknow,UP,Central,5.7,1.26,Standard,Prepaid,Returning,Ekart,Medium,Rain,39,42.9,3.9,No,Delivered,4
ORD000071,2025-12-05,Patna,BR,North,6.5,0.89,Standard,COD,Returning,XpressBees,High,Clear,46,48.6,2.6,No,Delivered,4
ORD000072,2026-02-18,Bangalore,KA,West,15.1,0.73,Standard,Prepaid,Returning,Ekart,Severe,Clear,16,20.5,4.5,No,Delivered,4
ORD000073,2025-12-31,Lucknow,UP,West,11.2,1.82,Standard,Prepaid,Returning,Delhivery,High,Clear,46,48.2,2.2,No,Delivered,5
ORD000074,2026-01-12,Delhi,DL,East,12.9,0.98,Standard,Prepaid,VIP,BlueDart,Medium,Rain,36,39.2,3.2,No,Delivered,4
ORD000075,2026-02-08,Kochi,KL,South,0.5,0.82,Express,Prepaid,New,Delhivery,High,Clear,12,14.6,2.6,No,Delivered,5
ORD000076,2026-01-28,Lucknow,UP,West,9.7,1.96,Express,COD,Returning,Ekart,Medium,Clear,18,21.2,3.2,No,Delivered,4
ORD000077,2026-02-02,Kolkata,WB,West,8.5,2.23,Standard,Prepaid,New,Ekart,Medium,Fog,13,18.8,5.8,No,Delivered,3
ORD000078,2026-01-10,Hyderabad,TG,East,2.5,0.62,Express,Prepaid,New,Delhivery,Severe,Clear,15,16.9,1.9,No,Reattempted,5
ORD000079,2025-12-29,Indore,MP,North,3.3,0.45,Standard,Prepaid,New,Delhivery,Medium,Rain,43,46.3,3.3,No,Delivered,4
ORD000080,2026-03-05,Kochi,KL,Central,6.6,1.04,Express,COD,Returning,BlueDart,Medium,Clear,7,9.6,2.6,No,Delivered,4
ORD000081,2026-02-04,Gurgaon,HR,North,2.1,0.56,Standard,COD,Returning,EcomExpress,Low,Clear,23,20.9,-2.1,Yes,Delivered,4
ORD000082,2026-01-22,Jaipur,RJ,East,4.3,0.51,Express,Prepaid,Returning,AmazonLogistics,Low,Storm,11,15.2,4.2,No,Delivered,4
ORD000083,2026-01-02,Bangalore,KA,North,5.7,0.59,SameDay,Prepaid,VIP,Delhivery,High,Clear,6,12.5,6.5,No,Delivered,5
ORD000084,2025-12-26,Bhopal,MP,North,9.8,2.07,Express,Prepaid,Returning,AmazonLogistics,High,Clear,11,15.0,4.0,No,Delivered,5
ORD000085,2026-02-01,Nagpur,MH,North,4.7,1.63,Standard,COD,New,XpressBees,High,Clear,48,52.3,4.3,No,Delivered,4
ORD000086,2026-02-03,Coimbatore,TN,South,5.7,4.83,Standard,Prepaid,New,BlueDart,Medium,Storm,27,31.5,4.5,No,Delivered,3
ORD000087,2026-02-14,Pune,MH,South,11.6,0.75,Express,Prepaid,Returning,Delhivery,Low,Fog,13,17.2,4.2,No,Delivered,5
ORD000088,2026-02-11,Kolkata,WB,North,0.5,2.45,Standard,Prepaid,New,Ekart,Medium,Clear,26,29.1,3.1,No,Delivered,4
ORD000089,2026-01-21,Patna,BR,South,8.4,1.49,Standard,Prepaid,New,XpressBees,Medium,Clear,15,16.9,1.9,No,Delivered,5
ORD000090,2026-02-21,Bhopal,MP,South,9.1,0.79,Standard,Prepaid,New,BlueDart,High,Clear,42,46.6,4.6,No,Delivered,4
ORD000091,2026-01-29,Jaipur,RJ,West,9.2,1.01,Standard,COD,Returning,BlueDart,High,Rain,26,32.1,6.1,No,Delivered,4
ORD000092,2025-12-06,Bhopal,MP,East,5.5,0.79,Standard,Prepaid,Returning,Ekart,High,Clear,34,39.2,5.2,No,Delivered,4
ORD000093,2025-12-15,Bhopal,MP,West,3.2,1.29,Standard,Prepaid,Returning,AmazonLogistics,High,Clear,25,28.5,3.5,No,Delivered,5
ORD000094,2026-02-11,Ahmedabad,GJ,North,13.6,2.0,Express,COD,Returning,AmazonLogistics,Medium,Clear,9,11.9,2.9,No,Delivered,4
ORD000095,2026-02-23,Chandigarh,CH,South,4.1,0.89,Standard,COD,VIP,XpressBees,High,Heatwave,42,46.8,4.8,No,Delivered,3
ORD000096,2026-01-22,Chennai,TN,East,3.0,1.84,Standard,Prepaid,Returning,Ekart,High,Clear,39,41.5,2.5,No,Delivered,4
ORD000097,2026-03-01,Hyderabad,TG,North,7.6,2.37,Standard,Prepaid,Returning,EcomExpress,Severe,Clear,47,53.3,6.3,No,Delivered,4
ORD000098,2026-02-09,Kochi,KL,South,4.5,2.71,SameDay,COD,Returning,DTDC,Medium,Heatwave,3,5.7,2.7,No,Delivered,4
ORD000099,2026-02-16,Nagpur,MH,Central,11.7,0.55,Standard,Prepaid,New,BlueDart,High,Clear,33,36.6,3.6,No,Delivered,4
ORD000100,2026-01-21,Delhi,DL,Central,6.4,1.07,Express,COD,VIP,XpressBees,Medium,Clear,10,12.5,2.5,No,Delivered,4
ORD000101,2026-02-05,Bhopal,MP,South,12.2,1.69,Express,Prepaid,Returning,Ekart,High,Clear,9,11.5,2.5,No,Delivered,5
ORD000102,2026-01-04,Bangalore,KA,West,9.3,0.58,Express,COD,New,Ekart,Severe,Clear,19,25.2,6.2,No,Delivered,4
ORD000103,2026-02-26,Bhopal,MP,South,5.9,0.5,Standard,Prepaid,Returning,Shadowfax,Severe,Clear,25,27.9,2.9,No,Delivered,4
ORD000104,2025-12-08,Mumbai,MH,West,12.0,1.09,Express,Prepaid,Returning,XpressBees,Low,Clear,13,14.5,1.5,No,Delivered,4
ORD000105,2025-12-07,Patna,BR,North,4.9,0.86,Standard,COD,VIP,Ekart,Medium,Clear,39,42.2,3.2,No,Delivered,5
ORD000106,2026-01-03,Patna,BR,North,6.2,1.0,Standard,Prepaid,New,Ekart,High,Clear,19,22.5,3.5,No,Delivered,5
ORD000107,2025-12-24,Patna,BR,West,9.6,0.83,Standard,Prepaid,New,AmazonLogistics,High,Fog,17,22.4,5.4,No,Delivered,4
ORD000108,2026-02-02,Kochi,KL,North,8.4,4.04,Express,Prepaid,VIP,Delhivery,Severe,Clear,19,23.1,4.1,No,Delivered,4
ORD000109,2026-02-08,Lucknow,UP,West,4.8,0.84,Standard,Prepaid,Returning,EcomExpress,Medium,Rain,13,17.9,4.9,No,Delivered,4
ORD000110,2025-12-05,Coimbatore,TN,South,1.4,1.57,Standard,Prepaid,New,Ekart,High,Clear,47,48.7,1.7,No,Delivered,5
ORD000111,2025-12-24,Chennai,TN,East,7.4,1.51,Express,Prepaid,Returning,AmazonLogistics,High,Clear,11,14.6,3.6,No,Delivered,4
ORD000112,2026-02-26,Patna,BR,East,4.6,0.4,Standard,Prepaid,Returning,AmazonLogistics,Medium,Clear,45,47.5,2.5,No,Delivered,4
ORD000113,2026-02-01,Indore,MP,South,7.6,2.66,Standard,Prepaid,New,DTDC,Low,Clear,36,35.7,-0.3,Yes,Delivered,3
ORD000114,2026-01-10,Lucknow,UP,East,5.8,1.61,Express,Prepaid,New,BlueDart,High,Rain,8,12.0,4.0,No,Delivered,3
ORD000115,2026-01-08,Surat,GJ,North,4.6,1.21,Express,COD,New,BlueDart,Low,Clear,7,7.4,0.4,No,Delivered,3
ORD000116,2025-12-10,Indore,MP,South,6.4,2.08,Express,Prepaid,New,AmazonLogistics,High,Rain,9,13.7,4.7,No,Delivered,5
ORD000117,2026-01-13,Mumbai,MH,North,7.2,1.07,Standard,COD,Returning,EcomExpress,Medium,Heatwave,46,48.4,2.4,No,Delivered,4
ORD000118,2026-02-23,Delhi,DL,East,10.3,1.88,Standard,Prepaid,New,DTDC,Medium,Clear,44,45.3,1.3,No,Delivered,4
ORD000119,2026-01-23,Hyderabad,TG,East,9.2,0.36,Standard,Prepaid,Returning,DTDC,Medium,Heatwave,21,24.3,3.3,No,Delivered,5
ORD000120,2025-12-21,Delhi,DL,East,15.9,1.8,Standard,Prepaid,Returning,AmazonLogistics,Severe,Clear,23,27.7,4.7,No,Delivered,4
ORD000121,2026-03-04,Jaipur,RJ,East,8.1,1.23,Standard,Prepaid,Returning,EcomExpress,High,Clear,25,28.4,3.4,No,Delivered,4
ORD000122,2025-12-10,Kochi,KL,Central,4.8,1.25,Standard,Prepaid,New,AmazonLogistics,High,Clear,33,36.5,3.5,No,Delivered,4
ORD000123,2025-12-06,Kochi,KL,North,6.8,0.67,Standard,COD,Returning,Delhivery,High,Rain,41,44.8,3.8,No,Delivered,4
ORD000124,2025-12-12,Lucknow,UP,Central,9.8,0.97,Standard,Prepaid,New,Delhivery,High,Rain,49,54.4,5.4,No,Delivered,4
ORD000125,2025-12-14,Chandigarh,CH,West,11.5,0.95,Standard,Prepaid,VIP,BlueDart,Severe,Storm,32,39.8,7.8,No,Delivered,3
ORD000126,2026-01-22,Indore,MP,South,12.9,0.56,Standard,COD,New,Delhivery,High,Rain,30,36.5,6.5,No,Delivered,3
ORD000127,2026-02-18,Pune,MH,West,3.4,1.37,Standard,Prepaid,Returning,Ekart,Medium,Clear,42,42.9,0.9,No,Delivered,4
ORD000128,2025-12-31,Patna,BR,South,12.6,2.84,Standard,COD,Returning,Ekart,Medium,Heatwave,47,49.7,2.7,No,Delivered,4
ORD000129,2026-02-03,Indore,MP,South,7.3,0.47,Standard,Prepaid,Returning,Delhivery,Medium,Heatwave,28,31.3,3.3,No,Delivered,3
ORD000130,2026-02-19,Nagpur,MH,North,3.8,1.48,Standard,Prepaid,Returning,AmazonLogistics,High,Rain,32,39.4,7.4,No,Delivered,4
ORD000131,2026-01-30,Indore,MP,North,6.7,0.86,Standard,Prepaid,Returning,Shadowfax,Medium,Clear,22,23.7,1.7,No,Delivered,5
ORD000132,2026-01-23,Indore,MP,South,12.3,0.8,Express,Prepaid,Returning,DTDC,High,Fog,9,14.7,5.7,No,Delivered,3
ORD000133,2025-12-09,Pune,MH,East,9.3,1.16,Standard,Prepaid,New,Ekart,Severe,Clear,42,46.4,4.4,No,Delivered,3
ORD000134,2025-12-30,Indore,MP,West,2.7,1.17,Standard,COD,Returning,XpressBees,Medium,Heatwave,17,21.2,4.2,No,Delivered,4
ORD000135,2026-02-25,Patna,BR,South,2.7,1.23,Standard,Prepaid,New,Delhivery,Low,Storm,22,25.1,3.1,No,Delivered,4
ORD000136,2026-01-27,Kolkata,WB,South,2.6,0.56,Standard,COD,Returning,Delhivery,High,Rain,16,22.8,6.8,No,RTO,2
ORD000137,2026-01-15,Nagpur,MH,South,4.6,2.13,Standard,Prepaid,Returning,Shadowfax,Low,Clear,21,19.8,-1.2,Yes,Delivered,4
ORD000138,2026-02-28,Mumbai,MH,North,7.8,1.16,Standard,Prepaid,Returning,Ekart,High,Clear,39,42.8,3.8,No,Delivered,3
ORD000139,2026-02-03,Kolkata,WB,East,3.0,1.58,Standard,Prepaid,New,XpressBees,Medium,Heatwave,42,45.3,3.3,No,Delivered,4
ORD000140,2026-02-21,Jaipur,RJ,North,5.8,2.29,Express,COD,Returning,BlueDart,Medium,Fog,8,13.0,5.0,No,Delivered,4
ORD000141,2025-12-16,Noida,UP,West,13.1,0.35,Express,Prepaid,New,Delhivery,Medium,Rain,17,22.4,5.4,No,NDR_Pending,4
ORD000142,2025-12-17,Hyderabad,TG,West,14.0,1.61,Standard,COD,Returning,Ekart,Medium,Heatwave,27,31.6,4.6,No,Reattempted,4
ORD000143,2026-02-23,Chennai,TN,West,13.7,1.0,Standard,Prepaid,Returning,EcomExpress,Medium,Clear,22,26.3,4.3,No,Delivered,4
ORD000144,2026-02-22,Jaipur,RJ,East,0.5,2.04,SameDay,COD,New,DTDC,Medium,Heatwave,6,7.7,1.7,No,RTO,4
ORD000145,2026-01-03,Noida,UP,South,14.2,0.68,Standard,COD,New,DTDC,Medium,Clear,31,34.0,3.0,No,Delivered,4
ORD000146,2026-01-07,Chandigarh,CH,East,7.9,1.94,SameDay,Prepaid,VIP,EcomExpress,Severe,Clear,8,12.7,4.7,No,Delivered,3
ORD000147,2025-12-27,Mumbai,MH,West,7.8,0.59,Express,Prepaid,New,Delhivery,Low,Clear,12,15.1,3.1,No,Delivered,5
ORD000148,2026-01-08,Hyderabad,TG,East,11.6,1.41,Standard,Prepaid,VIP,BlueDart,Medium,Clear,26,28.6,2.6,No,Delivered,5
ORD000149,2025-12-06,Bhopal,MP,West,10.3,1.31,Standard,COD,Returning,EcomExpress,Medium,Clear,16,19.9,3.9,No,Delivered,5
ORD000150,2026-01-19,Pune,MH,East,0.5,1.01,Standard,Prepaid,Returning,DTDC,Medium,Rain,44,47.0,3.0,No,Delivered,4
ORD000151,2026-02-11,Chandigarh,CH,Central,5.1,0.59,Express,Prepaid,Returning,AmazonLogistics,Low,Clear,15,16.2,1.2,No,Delivered,4
ORD000152,2026-02-12,Chennai,TN,South,6.0,0.89,Standard,COD,Returning,EcomExpress,High,Rain,47,50.9,3.9,No,Delivered,3
ORD000153,2026-01-20,Gurgaon,HR,East,2.2,1.92,Express,Prepaid,Returning,Shadowfax,Low,Clear,12,12.0,0.0,Yes,Reattempted,4
ORD000154,2026-01-12,Chennai,TN,West,11.5,2.7,Standard,Prepaid,Returning,Delhivery,High,Fog,42,47.9,5.9,No,Delivered,3
ORD000155,2025-12-16,Jaipur,RJ,South,13.3,3.57,Express,Prepaid,Returning,EcomExpress,Medium,Clear,14,16.3,2.3,No,Delivered,4
ORD000156,2026-02-03,Kochi,KL,Central,7.5,1.52,Express,Prepaid,New,AmazonLogistics,Medium,Rain,11,13.8,2.8,No,Delivered,5
ORD000157,2026-01-15,Delhi,DL,South,8.7,1.29,Standard,Prepaid,Returning,AmazonLogistics,Medium,Clear,25,27.1,2.1,No,Delivered,4
ORD000158,2025-12-20,Indore,MP,West,7.5,1.45,Standard,Prepaid,Returning,AmazonLogistics,High,Clear,18,21.0,3.0,No,Delivered,4
ORD000159,2026-01-19,Surat,GJ,North,7.9,3.52,Standard,COD,Returning,Delhivery,Severe,Clear,43,50.1,7.1,No,Delivered,4
ORD000160,2025-12-31,Patna,BR,North,12.0,1.51,Express,Prepaid,Returning,XpressBees,Medium,Clear,14,14.3,0.3,No,Delivered,4
ORD000161,2025-12-12,Noida,UP,East,0.5,1.16,Express,COD,Returning,BlueDart,Severe,Clear,12,18.0,6.0,No,Reattempted,4
ORD000162,2026-03-01,Kochi,KL,South,9.4,0.94,Standard,Prepaid,New,Ekart,Medium,Clear,43,44.5,1.5,No,Delivered,5
ORD000163,2026-02-20,Jaipur,RJ,South,7.5,1.0,Express,COD,VIP,XpressBees,Medium,Clear,12,16.4,4.4,No,Delivered,4
ORD000164,2026-01-12,Jaipur,RJ,North,4.6,1.39,Standard,Prepaid,Returning,Ekart,High,Rain,38,42.4,4.4,No,Delivered,5
ORD000165,2026-02-25,Jaipur,RJ,South,5.5,0.7,Standard,Prepaid,VIP,Delhivery,Medium,Clear,48,50.2,2.2,No,NDR_Pending,5
ORD000166,2026-02-09,Bhopal,MP,East,14.8,0.76,Express,COD,Returning,Shadowfax,Medium,Clear,7,9.2,2.2,No,Delivered,4
ORD000167,2026-01-11,Kolkata,WB,East,2.2,1.06,Standard,Prepaid,Returning,AmazonLogistics,Low,Clear,35,33.4,-1.6,Yes,Delivered,4
ORD000168,2025-12-12,Bangalore,KA,North,6.8,0.84,Express,COD,Returning,BlueDart,High,Clear,16,20.1,4.1,No,Delivered,4
ORD000169,2026-03-04,Kolkata,WB,West,14.0,1.58,Standard,Prepaid,New,XpressBees,Medium,Clear,45,44.9,-0.1,Yes,Delivered,4
ORD000170,2025-12-07,Mumbai,MH,South,2.4,1.66,Standard,Prepaid,New,Shadowfax,Severe,Rain,39,43.6,4.6,No,Delivered,4
ORD000171,2026-02-27,Delhi,DL,West,5.7,1.29,Standard,Prepaid,Returning,Ekart,Medium,Clear,22,24.8,2.8,No,Delivered,5
ORD000172,2025-12-09,Pune,MH,South,7.7,1.48,Standard,COD,New,Delhivery,Severe,Clear,46,51.2,5.2,No,NDR_Pending,3
ORD000173,2026-02-17,Patna,BR,South,9.2,1.19,Standard,Prepaid,New,Ekart,Low,Clear,42,42.4,0.4,No,Delivered,5
ORD000174,2026-02-06,Coimbatore,TN,South,7.2,0.11,Express,COD,Returning,BlueDart,High,Clear,11,16.3,5.3,No,Delivered,4
ORD000175,2026-02-13,Kochi,KL,West,3.9,0.65,Standard,Prepaid,New,Shadowfax,Medium,Rain,38,43.5,5.5,No,Delivered,5
ORD000176,2025-12-10,Lucknow,UP,South,9.3,1.69,Standard,Prepaid,New,Shadowfax,Medium,Clear,22,24.2,2.2,No,Delivered,5
ORD000177,2026-02-25,Coimbatore,TN,South,7.1,0.67,Standard,COD,Returning,EcomExpress,Low,Fog,22,27.6,5.6,No,Delivered,4
ORD000178,2026-01-28,Bangalore,KA,East,10.0,1.85,Standard,COD,New,Ekart,High,Clear,28,34.2,6.2,No,Delivered,4
