id,question,answer,category
27,"What is the company policy on respectful behavior for full-time employees in our code of conduct framework, scenario #7957?","Abusive or threatening conduct toward colleagues, customers, or vendors is prohibited.",Code of Conduct
28,"What is the company policy on carry forward for contract employees in the leave policy framework, scenario #4263?","Up to 11 unused annual leave days may be carried forward, subject to manager approval by December.",Leave Policy
29,"What is the company policy on intern conversion for support employees in the recruitment framework, scenario #4052?",Intern-to-full-time conversion is evaluated during the final 7 weeks of internship.,Recruitment
30,"What is the company policy on salary payment for managerial employees in our compensation framework, scenario #9434?",Monthly salary is credited on the 20th working day of each month.,Compensation
31,"What is the company policy on garden leave for intern employees in our separation framework, scenario #208?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
32,"What is the company policy on candidate travel for managerial employees in our recruitment framework, scenario #7386?",Interview travel reimbursement must be claimed within 4 days of the interview date.,Recruitment
33,"What is the company policy on travel allowance for full-time employees in the compensation framework, scenario #8465?",Domestic business travel provides a daily allowance of ₹20000 for meals and local transport.,Compensation
34,"What is the company policy on salary revision for intern employees in our compensation framework, scenario #9069?",Salary revisions are normally effective from August based on performance and business conditions.,Compensation
35,"What is the company policy on screen lock for engineering employees in the it & security framework, scenario #3546?",Devices must auto-lock after 14 minutes of inactivity.,IT & Security
36,"What is the company policy on emergency drill for sales employees in our workplace & facilities framework, scenario #2069?",Employees must participate in at least 9 emergency drill(s) per year where scheduled.,Workplace & Facilities
37,"What is the company policy on rehire restriction for managerial employees in the separation framework, scenario #2445?",Employees separated for misconduct may not be eligible for rehire under company policy.,Separation
38,"What is the company policy on local travel for support employees in the travel policy framework, scenario #3458?",Local travel claims must be submitted within 3 days and supported by receipts where required.,Travel Policy
39,"What is the company policy on parental insurance for probationary employees in the benefits framework, scenario #3825?",Parents may be added to insurance by paying the applicable premium during the enrollment window in September.,Benefits
40,"What is the company policy on employee assistance for intern employees in our benefits framework, scenario #6595?",The employee assistance program provides up to 22 confidential counseling sessions per year.,Benefits
41,"What is the company policy on festival gift for full-time employees in the benefits framework, scenario #7709?",A festival gift voucher of ₹50000 may be provided in February subject to company policy.,Benefits
42,"What is the company policy on software installation for support employees in our it & security framework, scenario #4723?","Only approved software may be installed, and requests should be raised through IT at least 30 day(s) in advance.",IT & Security
43,"What is the company policy on garden leave for probationary employees in our separation framework, scenario #7243?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
44,"What is the company policy on maternity leave for managerial employees in the leave policy framework, scenario #1859?",Eligible employees may take 9 weeks of maternity leave in line with company policy and applicable law.,Leave Policy
45,"What is the company policy on conflict of interest for sales employees in the code of conduct framework, scenario #4527?",Potential conflicts of interest must be disclosed within 21 days of becoming known.,Code of Conduct
46,"What is the company policy on intern conversion for sales employees in the recruitment framework, scenario #9369?",Intern-to-full-time conversion is evaluated during the final 30 weeks of internship.,Recruitment
47,"What is the company policy on offer validity for managerial employees in our recruitment framework, scenario #252?",An employment offer is normally valid for 28 calendar days from the issue date.,Recruitment
48,"What is the company policy on canteen subsidy for managerial employees in the workplace & facilities framework, scenario #4709?",Eligible employees receive canteen subsidy of ₹1500 per working day.,Workplace & Facilities
49,"What is the company policy on salary revision for contract employees in the compensation framework, scenario #2786?",Salary revisions are normally effective from August based on performance and business conditions.,Compensation
50,"What is the company policy on home office for contract employees in the remote work framework, scenario #7238?",The company reimburses up to ₹3000 once every 20 months for approved home-office items.,Remote Work
51,"What is the company policy on attendance impact for sales employees in the performance management framework, scenario #6485?",Unresolved attendance issues over 10 instances in a quarter may affect performance discussions.,Performance Management
52,"What is the company policy on medical insurance for managerial employees in our benefits framework, scenario #7223?",Medical insurance cover of ₹750 is provided to eligible employees under the group policy.,Benefits
53,"What is the company policy on unpaid leave for sales employees in the leave policy framework, scenario #7674?",Unpaid leave beyond regular entitlement may be granted for up to 12 working days with management approval.,Leave Policy
54,"What is the company policy on short breaks for engineering employees in the attendance framework, scenario #3831?","Employees may take up to 25 short breaks per day, each not exceeding 4 minutes.",Attendance
55,"What is the company policy on harassment reporting for intern employees in the code of conduct framework, scenario #3847?",Workplace harassment concerns should be reported within 20 days to HR or the designated committee.,Code of Conduct
56,"What is the company policy on data classification for support employees in the it & security framework, scenario #5943?",Documents classified as Highly Sensitive may only be shared with authorized recipients.,IT & Security
57,"What is the company policy on shift allowance for support employees in the attendance framework, scenario #9081?",Employees assigned to the evening shift receive a shift allowance of ₹15000 per shift.,Attendance
58,"What is the company policy on relocation support for full-time employees in the compensation framework, scenario #9648?",Relocation assistance up to ₹10000 is available for approved transfers subject to bills within 7 days.,Compensation
59,"What is the company policy on review frequency for support employees in our performance management framework, scenario #511?",Performance reviews are conducted annually and documented in the HR system.,Performance Management
60,"What is the company policy on leave encashment for probationary employees in our leave policy framework, scenario #9788?",Employees may encash up to 28 unused leave days at year-end if approved by HR and Finance.,Leave Policy
61,"What is the company policy on email retention for probationary employees in our it & security framework, scenario #5121?",Official email records are retained for approximately 15 months in line with policy.,IT & Security
62,"What is the company policy on full and final settlement for probationary employees in our separation framework, scenario #6930?",Full and final settlement is generally processed within 12 days after separation documentation is complete.,Separation
63,"What is the company policy on desk allocation for probationary employees in our workplace & facilities framework, scenario #9191?",Desk allocation is managed by Facilities and may change based on seating plans and team movement.,Workplace & Facilities
64,"What is the company policy on travel advance for sales employees in the travel policy framework, scenario #2325?",Travel advance requests must be raised at least 22 working days before the trip.,Travel Policy
65,"What is the company policy on desk allocation for support employees in the workplace & facilities framework, scenario #1337?",Desk allocation is managed by Facilities and may change based on seating plans and team movement.,Workplace & Facilities
66,"What is the company policy on childcare support for managerial employees in our benefits framework, scenario #745?",Eligible employees may claim childcare support up to ₹100000 per month for children up to age 22.,Benefits
67,"What is the company policy on overtime pay for sales employees in the compensation framework, scenario #8197?",Eligible employees receive overtime at 2.0x the hourly rate for approved extra hours.,Compensation
68,"What is the company policy on screen lock for full-time employees in the it & security framework, scenario #7539?",Devices must auto-lock after 3 minutes of inactivity.,IT & Security
69,"What is the company policy on meeting room for support employees in the workplace & facilities framework, scenario #5725?",Meeting rooms should be released if unused for more than 3 minutes after booking time.,Workplace & Facilities
70,"What is the company policy on rating appeal for intern employees in our performance management framework, scenario #2474?",Rating appeal requests must be submitted within 8 working days of receiving the appraisal outcome.,Performance Management
71,"What is the company policy on conflict of interest for full-time employees in our code of conduct framework, scenario #7582?",Potential conflicts of interest must be disclosed within 16 days of becoming known.,Code of Conduct
72,"What is the company policy on weekend stay for intern employees in the travel policy framework, scenario #4060?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
73,"What is the company policy on emergency drill for contract employees in our workplace & facilities framework, scenario #4656?",Employees must participate in at least 15 emergency drill(s) per year where scheduled.,Workplace & Facilities
74,"What is the company policy on employee assistance for contract employees in the benefits framework, scenario #6938?",The employee assistance program provides up to 28 confidential counseling sessions per year.,Benefits
75,"What is the company policy on screen lock for intern employees in our it & security framework, scenario #2148?",Devices must auto-lock after 1 minutes of inactivity.,IT & Security
76,"What is the company policy on visa expense for contract employees in our travel policy framework, scenario #7685?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
77,"What is the company policy on expense reimbursement for sales employees in the compensation framework, scenario #4671?",Approved expense claims must be submitted within 22 days of the expense date.,Compensation
78,"What is the company policy on short breaks for support employees in our attendance framework, scenario #3679?","Employees may take up to 9 short breaks per day, each not exceeding 8 minutes.",Attendance
79,"What is the company policy on bereavement leave for contract employees in our leave policy framework, scenario #1822?",Employees may take 30 working days of bereavement leave for immediate family members.,Leave Policy
80,"What is the company policy on wellness benefit for support employees in our benefits framework, scenario #3942?",Employees may claim wellness reimbursement of up to ₹750 per year for approved activities.,Benefits
81,"What is the company policy on visa expense for engineering employees in the travel policy framework, scenario #1699?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
82,"What is the company policy on per diem for engineering employees in the travel policy framework, scenario #3269?",Per diem for approved travel to category-1 locations is ₹15000 per day.,Travel Policy
83,"What is the company policy on bereavement leave for managerial employees in our leave policy framework, scenario #6554?",Employees may take 30 working days of bereavement leave for immediate family members.,Leave Policy
84,"What is the company policy on emergency drill for managerial employees in the workplace & facilities framework, scenario #1312?",Employees must participate in at least 29 emergency drill(s) per year where scheduled.,Workplace & Facilities
85,"What is the company policy on promotion review for managerial employees in the performance management framework, scenario #2340?","Promotion nominations are reviewed in March based on performance, readiness, and budget.",Performance Management
86,"What is the company policy on travel insurance for engineering employees in our travel policy framework, scenario #6522?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
87,"What is the company policy on promotion review for contract employees in the performance management framework, scenario #2224?","Promotion nominations are reviewed in December based on performance, readiness, and budget.",Performance Management
88,"What is the company policy on weekend work for engineering employees in the attendance framework, scenario #3293?",Weekend work requires prior approval from the reporting manager and must be logged within 6 hours.,Attendance
89,"What is the company policy on remote availability for engineering employees in the remote work framework, scenario #2054?",Employees working remotely must be reachable between 8:00 PM and 5:30 PM on official communication channels.,Remote Work
90,"What is the company policy on goal setting for contract employees in our performance management framework, scenario #8502?",Employees must finalize annual goals within 15 days of the performance cycle start.,Performance Management
91,"What is the company policy on parental insurance for contract employees in our benefits framework, scenario #3454?",Parents may be added to insurance by paying the applicable premium during the enrollment window in May.,Benefits
92,"What is the company policy on visa expense for sales employees in our travel policy framework, scenario #7610?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
93,"What is the company policy on expense reimbursement for engineering employees in the compensation framework, scenario #2309?",Approved expense claims must be submitted within 20 days of the expense date.,Compensation
94,"What is the company policy on working hours for contract employees in our attendance framework, scenario #3945?",Standard working hours are 6:00 PM to 7:00 PM with a 30-minute meal break.,Attendance
95,"What is the company policy on relocation support for managerial employees in our compensation framework, scenario #839?",Relocation assistance up to ₹750 is available for approved transfers subject to bills within 12 days.,Compensation
96,"What is the company policy on weekend stay for probationary employees in the travel policy framework, scenario #3262?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
97,"What is the company policy on weekend stay for full-time employees in our travel policy framework, scenario #8312?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
98,"What is the company policy on mfa requirement for full-time employees in the it & security framework, scenario #9561?",Multi-factor authentication is mandatory for access to all critical systems.,IT & Security
99,"What is the company policy on gifts policy for intern employees in our code of conduct framework, scenario #1021?",Employees may not accept gifts above ₹20000 without written approval.,Code of Conduct
100,"What is the company policy on canteen subsidy for managerial employees in the workplace & facilities framework, scenario #4572?",Eligible employees receive canteen subsidy of ₹500000 per working day.,Workplace & Facilities
101,"What is the company policy on email retention for intern employees in our it & security framework, scenario #690?",Official email records are retained for approximately 8 months in line with policy.,IT & Security
102,"What is the company policy on parental insurance for managerial employees in the benefits framework, scenario #861?",Parents may be added to insurance by paying the applicable premium during the enrollment window in December.,Benefits
103,"What is the company policy on night shift for contract employees in the attendance framework, scenario #8768?",Night shift is defined as work performed between 8:00 AM and 5:30 PM.,Attendance
104,"What is the company policy on desk allocation for full-time employees in our workplace & facilities framework, scenario #2199?",Desk allocation is managed by Facilities and may change based on seating plans and team movement.,Workplace & Facilities
105,"What is the company policy on software installation for contract employees in our it & security framework, scenario #8443?","Only approved software may be installed, and requests should be raised through IT at least 9 day(s) in advance.",IT & Security
106,"What is the company policy on goal setting for contract employees in our performance management framework, scenario #5891?",Employees must finalize annual goals within 13 days of the performance cycle start.,Performance Management
107,"What is the company policy on visitor policy for sales employees in the workplace & facilities framework, scenario #7455?",Visitors must be registered at reception and hosted by an employee at all times.,Workplace & Facilities
108,"What is the company policy on clean desk for intern employees in the workplace & facilities framework, scenario #2696?",Employees must clear sensitive papers from desks before leaving for the day.,Workplace & Facilities
109,"What is the company policy on reward nomination for managerial employees in the performance management framework, scenario #6488?",Spot award nominations should be submitted within 15 days of the recognized contribution.,Performance Management
110,"What is the company policy on medical insurance for support employees in our benefits framework, scenario #6267?",Medical insurance cover of ₹1000 is provided to eligible employees under the group policy.,Benefits
111,"What is the company policy on respectful behavior for engineering employees in our code of conduct framework, scenario #3763?","Abusive or threatening conduct toward colleagues, customers, or vendors is prohibited.",Code of Conduct
112,"What is the company policy on travel allowance for probationary employees in the compensation framework, scenario #725?",Domestic business travel provides a daily allowance of ₹5000 for meals and local transport.,Compensation
113,"What is the company policy on candidate travel for contract employees in our recruitment framework, scenario #4924?",Interview travel reimbursement must be claimed within 8 days of the interview date.,Recruitment
114,"What is the company policy on medical insurance for support employees in our benefits framework, scenario #3949?",Medical insurance cover of ₹2000 is provided to eligible employees under the group policy.,Benefits
115,"What is the company policy on salary advance for full-time employees in our compensation framework, scenario #6080?",Salary advance of up to ₹1500 may be granted in special cases and recovered over 28 months.,Compensation
116,"What is the company policy on attendance correction for support employees in the attendance framework, scenario #1923?",Attendance correction requests must be submitted within 24 calendar days of the missed punch.,Attendance
117,"What is the company policy on emergency drill for intern employees in the workplace & facilities framework, scenario #7693?",Employees must participate in at least 30 emergency drill(s) per year where scheduled.,Workplace & Facilities
118,"What is the company policy on performance improvement for intern employees in our performance management framework, scenario #9022?",A performance improvement plan usually runs for 12 days with defined review checkpoints.,Performance Management
119,"What is the company policy on experience letter for contract employees in the separation framework, scenario #6757?",Experience and relieving letters are issued after clearance completion and payroll closure.,Separation
120,"What is the company policy on remote availability for intern employees in our remote work framework, scenario #281?",Employees working remotely must be reachable between 8:00 PM and 7:00 PM on official communication channels.,Remote Work
121,"What is the company policy on incident reporting for contract employees in the it & security framework, scenario #3701?",Suspected security incidents must be reported within 26 hour(s) of discovery.,IT & Security
122,"What is the company policy on parental insurance for support employees in the benefits framework, scenario #8654?",Parents may be added to insurance by paying the applicable premium during the enrollment window in February.,Benefits
123,"What is the company policy on maternity leave for full-time employees in the leave policy framework, scenario #4904?",Eligible employees may take 7 weeks of maternity leave in line with company policy and applicable law.,Leave Policy
124,"What is the company policy on coworking reimbursement for engineering employees in our remote work framework, scenario #5348?",The company reimburses up to ₹20000 per month for approved coworking space use in exceptional cases.,Remote Work
125,"What is the company policy on paternity leave for engineering employees in our leave policy framework, scenario #2528?",Eligible employees may take 26 working days of paternity leave within 8 days of childbirth or adoption.,Leave Policy
126,"What is the company policy on office timing for full-time employees in the workplace & facilities framework, scenario #431?",Office facilities are generally accessible from 10:00 AM to 6:00 AM on business days.,Workplace & Facilities
127,"What is the company policy on shift allowance for full-time employees in our attendance framework, scenario #4398?",Employees assigned to the evening shift receive a shift allowance of ₹10000 per shift.,Attendance
128,"What is the company policy on gifts policy for support employees in our code of conduct framework, scenario #111?",Employees may not accept gifts above ₹25000 without written approval.,Code of Conduct
129,"What is the company policy on intern conversion for managerial employees in our recruitment framework, scenario #5229?",Intern-to-full-time conversion is evaluated during the final 27 weeks of internship.,Recruitment
130,"What is the company policy on childcare support for sales employees in our benefits framework, scenario #1134?",Eligible employees may claim childcare support up to ₹10000 per month for children up to age 19.,Benefits
131,"What is the company policy on candidate travel for sales employees in the recruitment framework, scenario #1792?",Interview travel reimbursement must be claimed within 5 days of the interview date.,Recruitment
132,"What is the company policy on expense reimbursement for support employees in our compensation framework, scenario #9644?",Approved expense claims must be submitted within 6 days of the expense date.,Compensation
133,"What is the company policy on ergonomic support for probationary employees in our workplace & facilities framework, scenario #7802?",Employees may request ergonomic equipment through Facilities subject to role need and stock.,Workplace & Facilities
134,"What is the company policy on weekend work for probationary employees in the attendance framework, scenario #5423?",Weekend work requires prior approval from the reporting manager and must be logged within 24 hours.,Attendance
135,"What is the company policy on incident reporting for contract employees in our it & security framework, scenario #1026?",Suspected security incidents must be reported within 15 hour(s) of discovery.,IT & Security
136,"What is the company policy on international travel for engineering employees in our travel policy framework, scenario #7502?",International travel requires approval from the function head at least 26 working days before departure.,Travel Policy
137,"What is the company policy on hotel cap for probationary employees in the travel policy framework, scenario #9418?",Hotel reimbursement is capped at ₹7500 per night for travel to tier-3 cities.,Travel Policy
138,"What is the company policy on rehire policy for contract employees in the recruitment framework, scenario #3197?","Former employees may be considered for rehire after a cooling period of 6 months, subject to records review.",Recruitment
139,"What is the company policy on probation length for managerial employees in the recruitment framework, scenario #7493?",Standard probation period is 17 months unless otherwise stated in the appointment letter.,Recruitment
140,"What is the company policy on travel insurance for probationary employees in our travel policy framework, scenario #5712?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
141,"What is the company policy on weekend work for engineering employees in our attendance framework, scenario #4795?",Weekend work requires prior approval from the reporting manager and must be logged within 28 hours.,Attendance
142,"What is the company policy on employee assistance for support employees in our benefits framework, scenario #2330?",The employee assistance program provides up to 9 confidential counseling sessions per year.,Benefits
143,"What is the company policy on local travel for probationary employees in our travel policy framework, scenario #1038?",Local travel claims must be submitted within 21 days and supported by receipts where required.,Travel Policy
144,"What is the company policy on incident reporting for sales employees in the it & security framework, scenario #2036?",Suspected security incidents must be reported within 7 hour(s) of discovery.,IT & Security
145,"What is the company policy on remote travel for contract employees in the remote work framework, scenario #7033?",Remote work while on personal travel is permitted for up to 15 working days per quarter with manager approval.,Remote Work
146,"What is the company policy on buyout policy for managerial employees in our separation framework, scenario #1161?",Notice buyout may be allowed for up to 23 days subject to management approval.,Separation
147,"What is the company policy on overtime pay for engineering employees in our compensation framework, scenario #5754?",Eligible employees receive overtime at 1.5x the hourly rate for approved extra hours.,Compensation
148,"What is the company policy on visitor policy for managerial employees in the workplace & facilities framework, scenario #4066?",Visitors must be registered at reception and hosted by an employee at all times.,Workplace & Facilities
149,"What is the company policy on data deletion for full-time employees in the it & security framework, scenario #3950?",Data deletion requests involving employee records must follow approved retention schedules and authorization steps.,IT & Security
150,"What is the company policy on whistleblower for engineering employees in our code of conduct framework, scenario #3535?",Whistleblower complaints may be made confidentially through the approved reporting channels.,Code of Conduct
151,"What is the company policy on annual leave for support employees in the leave policy framework, scenario #8789?",Annual leave entitlement is 26 days per calendar year for support employees.,Leave Policy
152,"What is the company policy on manager feedback for support employees in the performance management framework, scenario #208?",Managers are expected to provide formal feedback at least 19 time(s) per quarter.,Performance Management
153,"What is the company policy on canteen subsidy for engineering employees in our workplace & facilities framework, scenario #9448?",Eligible employees receive canteen subsidy of ₹2000 per working day.,Workplace & Facilities
154,"What is the company policy on buyout policy for full-time employees in the separation framework, scenario #7730?",Notice buyout may be allowed for up to 16 days subject to management approval.,Separation
155,"What is the company policy on manager feedback for support employees in the performance management framework, scenario #3657?",Managers are expected to provide formal feedback at least 30 time(s) per quarter.,Performance Management
156,"What is the company policy on password reset for sales employees in our it & security framework, scenario #6034?",Passwords must be changed at least once every 13 days or earlier if compromise is suspected.,IT & Security
157,"What is the company policy on travel insurance for contract employees in the travel policy framework, scenario #3362?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
158,"What is the company policy on usb policy for sales employees in our it & security framework, scenario #1227?",Use of personal USB devices on company systems is prohibited unless approved for up to 14 days.,IT & Security
159,"What is the company policy on travel advance for sales employees in the travel policy framework, scenario #1732?",Travel advance requests must be raised at least 2 working days before the trip.,Travel Policy
160,"What is the company policy on remote travel for engineering employees in the remote work framework, scenario #5371?",Remote work while on personal travel is permitted for up to 15 working days per quarter with manager approval.,Remote Work
161,"What is the company policy on home office for full-time employees in the remote work framework, scenario #1011?",The company reimburses up to ₹15000 once every 23 months for approved home-office items.,Remote Work
162,"What is the company policy on bonus payout for probationary employees in the compensation framework, scenario #2753?","Annual performance bonus, where applicable, is paid in November after review completion.",Compensation
163,"What is the company policy on visa expense for full-time employees in our travel policy framework, scenario #8174?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
164,"What is the company policy on probation length for support employees in our recruitment framework, scenario #9268?",Standard probation period is 16 months unless otherwise stated in the appointment letter.,Recruitment
165,"What is the company policy on screen lock for engineering employees in our it & security framework, scenario #8744?",Devices must auto-lock after 13 minutes of inactivity.,IT & Security
166,"What is the company policy on desk allocation for contract employees in our workplace & facilities framework, scenario #2877?",Desk allocation is managed by Facilities and may change based on seating plans and team movement.,Workplace & Facilities
167,"What is the company policy on harassment reporting for intern employees in the code of conduct framework, scenario #9612?",Workplace harassment concerns should be reported within 3 days to HR or the designated committee.,Code of Conduct
168,"What is the company policy on canteen subsidy for probationary employees in our workplace & facilities framework, scenario #2855?",Eligible employees receive canteen subsidy of ₹300000 per working day.,Workplace & Facilities
169,"What is the company policy on ergonomic support for contract employees in our workplace & facilities framework, scenario #3620?",Employees may request ergonomic equipment through Facilities subject to role need and stock.,Workplace & Facilities
170,"What is the company policy on knowledge transfer for probationary employees in our separation framework, scenario #4206?",Knowledge transfer plan must be completed at least 4 working days before exit for critical roles.,Separation
171,"What is the company policy on working hours for support employees in the attendance framework, scenario #4832?",Standard working hours are 9:00 AM to 5:00 AM with a 45-minute meal break.,Attendance
172,"What is the company policy on bereavement leave for contract employees in the leave policy framework, scenario #9951?",Employees may take 9 working days of bereavement leave for immediate family members.,Leave Policy
173,"What is the company policy on document submission for intern employees in the recruitment framework, scenario #894?",New hires must submit all joining documents within 2 working days of the start date.,Recruitment
174,"What is the company policy on review frequency for managerial employees in our performance management framework, scenario #4342?",Performance reviews are conducted half-yearly and documented in the HR system.,Performance Management
175,"What is the company policy on attendance correction for engineering employees in the attendance framework, scenario #1405?",Attendance correction requests must be submitted within 13 calendar days of the missed punch.,Attendance
176,"What is the company policy on experience letter for intern employees in the separation framework, scenario #1971?",Experience and relieving letters are issued after clearance completion and payroll closure.,Separation
177,"What is the company policy on gifts policy for full-time employees in our code of conduct framework, scenario #4526?",Employees may not accept gifts above ₹2500 without written approval.,Code of Conduct
178,"What is the company policy on software installation for probationary employees in our it & security framework, scenario #9373?","Only approved software may be installed, and requests should be raised through IT at least 30 day(s) in advance.",IT & Security
179,"What is the company policy on travel insurance for contract employees in our travel policy framework, scenario #4594?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
180,"What is the company policy on conflict of interest for managerial employees in the code of conduct framework, scenario #8443?",Potential conflicts of interest must be disclosed within 28 days of becoming known.,Code of Conduct
181,"What is the company policy on home office for contract employees in our remote work framework, scenario #6036?",The company reimburses up to ₹300000 once every 10 months for approved home-office items.,Remote Work
182,"What is the company policy on asset misuse for full-time employees in the code of conduct framework, scenario #4671?",Misuse of company property may result in recovery of costs and disciplinary action.,Code of Conduct
183,"What is the company policy on carry forward for intern employees in the leave policy framework, scenario #4136?","Up to 2 unused annual leave days may be carried forward, subject to manager approval by April.",Leave Policy
184,"What is the company policy on local travel for support employees in our travel policy framework, scenario #4891?",Local travel claims must be submitted within 23 days and supported by receipts where required.,Travel Policy
185,"What is the company policy on buyout policy for engineering employees in the separation framework, scenario #8149?",Notice buyout may be allowed for up to 16 days subject to management approval.,Separation
186,"What is the company policy on retirement plan for full-time employees in our benefits framework, scenario #1600?",The company contributes 10% of basic salary toward eligible retirement benefits where applicable.,Benefits
187,"What is the company policy on gifts policy for engineering employees in the code of conduct framework, scenario #7710?",Employees may not accept gifts above ₹500000 without written approval.,Code of Conduct
188,"What is the company policy on unpaid leave for intern employees in the leave policy framework, scenario #5184?",Unpaid leave beyond regular entitlement may be granted for up to 19 working days with management approval.,Leave Policy
189,"What is the company policy on canteen subsidy for contract employees in our workplace & facilities framework, scenario #7036?",Eligible employees receive canteen subsidy of ₹100000 per working day.,Workplace & Facilities
190,"What is the company policy on rehire policy for intern employees in our recruitment framework, scenario #2113?","Former employees may be considered for rehire after a cooling period of 16 months, subject to records review.",Recruitment
191,"What is the company policy on night shift for probationary employees in the attendance framework, scenario #2702?",Night shift is defined as work performed between 8:00 AM and 6:30 PM.,Attendance
192,"What is the company policy on referral bonus for full-time employees in the recruitment framework, scenario #1898?",Employee referral bonus of ₹1500 is paid after the referred hire completes 8 months of service.,Recruitment
193,"What is the company policy on candidate travel for managerial employees in our recruitment framework, scenario #1719?",Interview travel reimbursement must be claimed within 13 days of the interview date.,Recruitment
194,"What is the company policy on data deletion for managerial employees in the it & security framework, scenario #7876?",Data deletion requests involving employee records must follow approved retention schedules and authorization steps.,IT & Security
195,"What is the company policy on performance improvement for managerial employees in the performance management framework, scenario #2863?",A performance improvement plan usually runs for 1 days with defined review checkpoints.,Performance Management
